IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
251;1.1065;;;;1822.23000993464;36.4090876156863;2070.77980431373;47.6550744509804;451.077743333333;214.76599443098
252;1.3355;2.5Y;5;3;2344.55591830065;49.2240850980392;6102.82010392157;365.435859764706;331.621275686275;340.469858646667
253;1.2405;2.5Y;4;3;7423.33005733333;44.527087332;7783.891979;246.74236034;514.1487548;1360.1683834196
254;1.1915;;;;;;;;;
255;1.192;2.5Y;6;2;772.969327210885;20.3908397755102;4388.44222346939;192.494802285714;638.437934081633;97.8602411832653
256;1.148;2.5Y;5;3;2849.56611913043;47.6998683478261;7696.12896630435;364.371017304348;953.527962608696;149.769867651739
257;0.11;2.5Y;6;3;6020.86340277778;31.7881115625;7884.94853958333;270.516380125;802.204470208333;740.608002937083
258;1.3425;2.5Y;5;3;6169.87550326797;58.8799927058824;1743.47453627451;18.7329151745098;200.597642254902;1484.7565964898
259;1.3695;2.5Y;5;2;1967.39831666667;48.1636638790124;825.723364538333;8.97011758351852;256.017910811111;344.637856222222
260;1.588;2.5Y;6;4;1245.14635633987;34.8136566509804;1808.52552;39.2979775294118;251.570491333333;321.963929842745
261;1.2755;2.5Y;5;3;3582.26782062893;23.7000013396226;6771.22587735849;237.108440716981;512.56184509434;460.678218886415
262;1.424;2.5Y;5;3;2514.77455414966;27.0941323306122;4005.95714734694;360.926021122449;379.887414836735;333.138839122041
263;1.1305;2.5Y;6.5;2;2386.13167115646;46.0188629387755;4807.95361938775;199.561339469388;411.669746326531;339.631416897551
264;1.5585;2.5Y;4;4;5189.61458717949;33.1612619192308;4146.04432019231;162.654492826923;605.013577307692;1088.677543865
265;1.58;2.5Y;4;4;4678.61685066667;30.84694662;3263.3341942;109.86475014;554.0938846;1056.2848988196
266;1.48;2.5Y;4;3;5623.23119102564;42.6446313076923;4349.08941538461;115.398909038462;834.977727115385;1178.51430867269
267;1.5465;2.5Y;5;4;5141.19035849057;37.1219044220126;3266.65331962396;90.8820665266038;727.418258750943;1241.84667175472
268;1.5355;2.5Y;4;3;5756.57287234043;43.8382143503546;5351.21681000149;143.974147849149;846.581309442553;1250.15852495745
269;1.536;2.5Y;4;4;5294.44731393939;42.6570516448485;4857.31519581945;117.676060325636;832.70789716;1088.15794078182
270;1.577;2.5Y;5;4;4759.33556054422;38.1678589585034;3599.06478357286;87.6539135491837;620.077331914286;1130.3858714898
271;1.4895;2.5Y;5;3;6520.71194213836;45.2723854050315;5975.83650698245;166.434494036038;936.525526486793;1231.64765024528
272;1.482;2.5Y;4;3;5171.68292201258;39.5420384805031;5571.90108245415;118.782098111509;1044.48888384528;912.570835339623
273;1.51;2.5Y;4;4;6316.86015432099;38.9816506567901;5382.61960129759;110.133193202037;930.782203774074;1392.63888894444
274;1.5265;2.5Y;4;4;6194.5666829932;37.4090503095238;5584.71251877694;111.051032324694;1112.12131497551;1192.04548006122
275;1.3035;2.5Y;7;3;12350.6971741497;64.478513662585;5489.93839020551;40.4130902104082;679.084523342857;4274.50748904082
276;1.2815;;;;;;;;;
277;1.2405;;;;1752.98750533333;22.6481705527273;3860.94786090909;195.838345127273;293.635947454545;190.305326890545
278;0.00;2.5Y;5;2;;;;;;
279;0.00;;;;;;;;;
280;0.00;;;;;;;;;
281;0.00;10YR;5;3;1688.89856255319;22.404673641844;3914.47086170362;264.551223955532;276.340906442553;177.176554553192
282;0.00;;;;;;;;;
283;0.00;;;;;;;;;
284;0.00;;;;;;;;;
285;1.5055;;;;;;;;;
286;1.411;;;;;;;;;
287;1.452;;;;;;;;;
288;1.1685;;;;;;;;;
289;1.247;;;;;;;;;
290;1.272;;;;;;;;;
291;1.2425;;;;;;;;;
292;1.347;;;;;;;;;
293;1.3395;;;;;;;;;
294;1.486;;;;;;;;;
295;1.6005;;;;;;;;;
296;1.466;;;;;;;;;
297;1.5745;;;;;;;;;
298;1.3885;;;;;;;;;
299;1.415;10YR;6;4;7192.82333333333;87.6896421972222;5262.58415666813;29.3114063127083;405.729708433333;1485.76234527083
300;1.507;2.5Y;5;4;3959.3148;13.0797332384615;2800.64304228269;62.7592941538461;206.547034211538;1065.38031033654
301;1.441;2.5Y;5;4;5697.94624836601;18.4502936875817;2953.92393183725;35.2807575176471;345.152875294118;1434.7120152451
302;1.515;2.5Y;6;4;4408.35491975309;19.2130787580247;2001.23415117963;36.8804736555555;230.816229611111;1220.55469625
303;1.551;2.5Y;5;4;5035.76452765957;31.5092248439716;3113.94337688723;65.7980835106383;336.551939489362;1381.82241420213
304;1.5645;2.5Y;5;4;3378.41580283951;21.5341350037037;2037.81727238333;68.919845;229.471578203704;897.27992087963
305;1.4875;2.5Y;5;4;1475.89457358491;13.7729301823899;1310.61962516415;12.6252606320755;100.981232433962;189.790229801887
306;1.3935;2.5Y;6;4;1887.38804386667;4.65122114266667;668.254553174;7.063289574;68.27683118;425.21514015
307;1.4265;;;;1018.15737228758;8.4350576379085;751.078973013725;20.5508218137255;97.5560958235294;277.331839833333
308;1.355;2.5Y;5;3;4065.56407283951;55.3501487679012;1897.48468407537;9.89539127240741;139.078851959259;677.878437277778
309;1.426;2.5Y;6;3;637.164280628931;31.2725541786164;1646.76443839755;8.73814969264151;124.710590128302;102.880185207547
310;1.41;2.5Y;5;3;857.101096477987;13.9781819220126;2763.6673874283;11.5312015339623;128.429961509434;139.553179669811
311;1.4725;2.5Y;6;3;2331.4385004;11.5961788466667;891.196914474;7.96058861;227.55506908;525.13611355
312;1.401;2.5Y;4;6;2601.36411066667;28.7644599133333;4103.163165874;50.45135634;200.93627964;493.28152215
314;1.5045;10YR;6;2;1675.03715961538;57.7224107589744;1985.7774638475;41.0788197482692;237.315272938462;354.195467923077
315;1.506;2.5Y;5;3;;;;;;
316;1.343;;;;;;;;;
317;1.6465;;;;2737.37617856209;33.5487694843137;1853.41534421569;46.3585163921569;137.988931215686;874.53241943098
318;1.439;2.5Y;6;4;;;;;;
319;1.585;;;;;;;;;
320;1.402;;;;6178.80770196078;25.7748810882353;1401.83906686274;15.9576129803922;423.360836666667;1586.26042629373
321;1.68;2.5Y;6;4;;;;;;
322;1.6025;;;;;;;;;
323;1.3955;;;;;;;;;
324;1.3185;2.5Y;7;2;15345.6156306667;66.3354805293333;2697.0084460014;46.2119293382;444.566392076;5584.87636326
325;1.514;;;;;;;;;
326;1.311;;;;;;;;;
327;1.4875;;;;;;;;;
328;1.4635;;;;;;;;;
329;1.3985;;;;;;;;;
330;1.22;;;;;;;;;
331;1.627;;;;;;;;;
332;1.48;;;;;;;;;
333;1.526;2.5Y;5;4;4587.62385925926;18.4309158691358;2302.89650879012;52.0817264074074;429.276999240741;1087.08292699074
334;1.5055;2.5Y;5;4;4870.184824;;2428.80525638976;93.206841;-4.7581234;1150.58766775
335;1.4305;;;;;;;;;
336;1.5115;;;;;;;;;
337;1.5125;;;;;;;;;
338;1.341;;;;;;;;;
339;1.204;;;;;;;;;
340;1.4635;;;;;;;;;
341;1.381;;;;;;;;;
342;1.4675;;;;;;;;;
344;1.384;;;;;;;;;
345;1.426;;;;;;;;;
346;1.555;;;;;;;;;
347;1.4715;;;;;;;;;
348;1.39;;;;;;;;;
349;1.346;;;;;;;;;
350;1.289;;;;;;;;;
351;1.3135;;;;;;;;;
352;1.3525;;;;;;;;;
353;1.388;;;;;;;;;
354;1.555;;;;;;;;;
355;1.4655;;;;;;;;;
356;1.418;;;;;;;;;
357;1.1905;;;;;;;;;
358;1.4925;;;;;;;;;
359;1.606;;;;;;;;;
360;1.584;;;;;;;;;
361;1.5915;;;;;;;;;
362;1.5055;;;;;;;;;
363;1.6525;;;;;;;;;
364;1.651;;;;;;;;;
365;1.64;;;;;;;;;
366;1.496;;;;;;;;;
367;1.591;;;;;;;;;
368;1.6185;;;;;;;;;
369;1.6395;;;;;;;;;
370;1.6125;;;;;;;;;
370.16;0.9285;10YR;4;2;3217.66081581699;25.8812986601307;8562.72166458235;123.478581098039;526.999369196078;193.909108323529
370.47;0.866;10YR;4;3;14831.0716843537;78.6159932653061;5201.67856619796;131.623812653061;829.981141408163;3340.59380484694
375;1.0425;;;;;;;;;
376;0.9375;10YR;4;2;2586.32133945578;43.735404722449;7916.63418367347;103.684160836735;333.546464857143;151.979827142449
381;1.0655;10YR;4;2;2874.66287973333;43.092767224;5199.668293;524.3155192;403.41894308;198.0282854196
414;1.4275;10YR;5;2;;;;;;
416;1.611;;;;;;;;;
420;1.047;;;;;;;;;
424;1.0855;10YR;4;3;2888.70273910256;39.8055406346154;5608.22328173077;2287.37633288462;341.480037807692;150.187919961154
485;1.188;;;;;;;;;
486;1.138;;;;;;;;;
487;1.2825;10YR;5;4;7030.03426914231;42.3842907288462;8598.76573868077;107.256913488365;1775.49905974038;1355.17177883365
488;1.2025;10YR;5;4;8259.42953201358;50.5070450537037;9324.05090669259;117.179917636944;2105.17279456481;1415.72112406204
491;1.1555;10YR;5;4;9033.09618221905;50.6041007938775;10081.8054941102;159.402153150918;2226.67498482653;1485.79061100714
492;1.276;2.5Y;5;3;3304.81765324314;31.4365160568628;9029.13190120392;275.148046556765;1061.85574816667;724.967008614706
493;1.185;2.5Y;5;3;3748.94827647059;16.9653338078431;5056.72247986274;238.263326142745;1148.34447909824;831.271366933333
494;1.299;2.5Y;4;2;2401.69720732026;12.0834268705882;3397.28037711765;190.921498260392;804.019153608039;512.317035952941
495;1.327;2.5Y;4;4;2579.1258220915;16.7790250843137;3375.35511211765;192.160319025098;1463.98403164725;376.135231305882
496;1.3875;;;;;;;;;
497;1.205;2.5Y;5;3;2494.47431296296;17.8154215537037;5166.71108561111;118.402194653333;887.893661740926;475.508433214815
498;;2.5Y;5;2;2138.90035628205;16.7009646134615;3654.02429851923;139.711313005385;697.6103021925;466.970589492308
499;;2.5Y;6;2;9461.19793594771;21.1179165098039;10249.4704788824;273.248378103529;1561.72208458843;2152.40891340392
500;;;;;;;;;;
501;1.092;2.5Y;5;3;3418.61063899371;7.97657039622641;9669.02455014622;297.813436603774;1123.29847641509;273.834917375472
502;1.3845;;;;;;;;;
503;1.3565;2.5Y;6;3;5414.17110123457;13.0988941277778;3975.39868468518;56.2711311718518;636.270361926111;1350.60269025185
504;1.266;2.5Y;5;3;2561.48359647799;15.6759627396226;5179.62915043396;269.472012835472;832.53411252849;635.147834784906
505;1.2875;2.5Y;5;3;2460.24842197531;2.76230783333333;4759.89279672222;529.066576468148;883.996589333518;668.6126634
506;1.32;2.5Y;4;2;2775.91375769231;22.1946789865385;2759.61725140385;284.262767236154;598.870743538654;619.774824107692
507;1.0735;2.5Y;5;3;2827.34303271605;17.7426619777778;6903.18355875926;719.109204616296;526.726504889074;589.970115992593
509;1.109;2.5Y;5;2.5;2566.31896703704;20.2098171493827;1293.13351331914;543.178708148148;255.182843518519;612.58181125
510;1.027;;;;4035.10726893333;19.1010260373333;4905.1967614014;532.8059547182;557.153196076;1170.43152826
511;1.1915;2.5Y;5;2;2261.42595345679;35.9314078604938;5925.05154111241;555.266435109444;740.882076366667;474.984805981481
512;0.964;2.5Y;5;2;4764.51756527778;18.9056829222222;9641.01999312646;966.036927414792;595.973721954167;932.417229229167
513;1.205;2.5Y;4;4;1184.01847398693;20.1253682248366;3386.07235284451;591.21047286098;277.115549388235;319.586685137255
514;1.0765;2.5Y;5;3;2280.24172506173;29.8595087864198;7435.06327629759;580.900517887222;489.960130255555;420.898086907407
515;1.406;2.5Y;5;2;1530.81158810458;7.52687624313726;1452.33797594118;48.3290092996078;426.731771451176;437.03267105098
516;0.799;;;;6285.54337916667;103.23803451875;4897.8662994375;191.998761943333;1562.21391758354;855.677792366667
517;1.3085;2.5Y;5;3;1157.61302906667;16.70104976;1916.06718236;42.4977104056;427.2821300802;449.536177872
518;;2.5Y;6;2;1486.90290680851;21.9249589957447;4443.61891325532;221.250955431489;668.061741574681;454.312542204255
519;1.0055;;4;4;10355.1151526436;59.8931438709091;9116.39637657091;125.781105916273;1203.00180757273;2302.81130326091
