IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
2214;;;;;3381.28816226275;28.2245721745098;4293.60525218431;38.0503043665686;571.594050911765;638.046513712745
2215;;;;;4324.14436658148;33.7830601277778;5121.93854928519;39.2015890258333;724.112503083333;766.970625543519
2216;;;;;4290.13715119359;33.5502832673077;5159.53969060384;57.2786920652885;951.219639548077;943.871466910577
2217;;;;;3539.91484069412;34.7453145470588;4538.84623061569;32.2968796587255;600.929231892157;648.659172144118
2218;;;;;4880.82929210071;40.6608755510638;5268.65996726383;25.377132385;598.925603329787;839.09136211383
2219;;;;;3310.72651737467;34.331610438;5419.577373228;27.4438834739;546.87317633;683.079313587
2220;;;;;6447.38313187891;46.9860547530612;7471.02500431429;31.4806348815306;692.555387887755;1259.21268284388
2221;;;;;3318.87709559861;39.2636221854167;4600.04261690417;41.3786546644792;736.456454510417;531.200225403125
2222;;;;;2948.92359912549;29.0975680960784;2595.50504179216;24.1699759685294;696.876883656863;410.057793320588
2225;;;;;5655.80247161132;45.1261453754717;9459.29497568679;30.7793088187736;792.257494273585;1083.62879961038
2226;;;;;7080.75136045034;47.5359363857143;6764.40405533469;34.523718555;886.69212972449;1045.88609794592
2227;;;;;3581.4518826549;32.3731488803922;3967.03988159608;25.0392767430392;638.78768267647;595.942525869608
2228;;;;;3399.91399412704;35.3372356584906;4166.42897568679;40.1536913470755;737.190999367925;568.025385270755
2229;;;;;5103.35725632179;40.8394834403846;6144.33260598846;28.9394035710577;693.966243009615;1015.67819806442
2230;;;;;4053.61235503974;22.3025693038461;5737.05264541154;11.8677067864423;485.740321471154;846.399423064423
2232;;;;;4786.01888765432;41.7346827222222;2474.15593062407;16.7569073481481;787.69999387037;560.290784398148
2233;;;;;6170.76016172839;48.1475977222222;4475.83519247593;27.7330357907407;946.715836277778;721.057230694444
2234;;;;;;;;;;
2235;;;;;7432.10008533333;59.4799988;10407.995563874;48.28759638;1054.59856318;893.13547455
2236;;;;;3448.56596231292;36.5502946530612;3770.34857823878;45.6251386326531;856.997775489796;475.654448928571
2237;;;;;4490.42687636364;43.9668189272727;2173.00643552182;20.5093036163636;977.616369981818;630.855722136364
2240;;;;;4590.88694213837;40.0997900566038;4721.85876591887;303.365193169811;582.058931490566;951.770215801887
2241;;;;;;;;;;
2245;;;;;6157.19801976028;55.2220667638298;6338.19699705106;32.4735054296809;721.213779074468;1059.80713062447
2247;;;;;5527.2742888037;57.9097751833333;3664.34411872963;24.6812952517593;625.444713824074;789.200673876852
2248;;;;;4294.52968562041;54.2374924469388;4488.95393900816;20.718020632551;547.602879520408;874.229631823469
2249;;;;;4883.69277295177;53.3930057425532;4295.06844811489;27.6471624998936;666.707963542553;960.619674241489
2256;;;;;3305.69762333333;34.2125515833334;2791.07636549375;48.2713366666667;833.341840395833;415.162971822917
2257;;;;;3984.53901986667;29.09409288;1688.531755174;20.140163712;952.37162058;405.00110595
2269;;;;;;;;;;
2275;;;;;;;;;;
2283;;;;;4428.17675510204;40.3514054761905;7832.87281313673;36.3987267734694;560.602589979592;1019.84594566327
2287;;;;;3951.73840571429;33.2893768095238;1826.67685568775;26.8201412408163;1039.13051691837;293.418118581633
2292;;;;;4183.56996666667;32.8482800347222;1392.25765486875;22.39821998125;954.361042895833;281.48754553125
2293;;;;;3789.6207229932;26.9589028367347;1145.74124099388;20.821150077551;881.431243244898;257.934841540816
2294;;;;;4128.22793857467;32.987089198;593.253825928;19.5965806779;820.68188253;276.376848087
2295;;;;;3965.40344444444;33.222655537037;942.431755624074;26.5016346462963;784.091085351852;222.482451435185
2296;;;;;4888.99234305556;40.9850113819445;5531.79302174375;24.5894991125;750.151866645833;997.591763489583
2297;;;;;4164.57594230769;58.6679592115385;1524.08176189808;25.6002968153846;766.58737075;393.078074567308
2298;;;;;1313.35392380952;21.0403229;1244.94488936122;13.8992940469388;521.41277855102;139.73305694898
2299;;;;;4122.2965559305;28.3857552510638;862.338546412766;26.0934154615957;940.81392737234;260.476573007447
2300;;;;;2657.49830529615;27.3045440788462;976.705267238461;20.8031755729808;690.844895509615;207.3268399875
2301;;;;;3437.1275732375;40.43741795625;1431.849043675;23.6467699061458;880.674014510417;213.987604173958
2302;;;;;3473.3894372913;34.9242970195652;1783.32554937826;19.0566798933696;821.552559054348;240.398960138043
2303;;;;;2842.92310099456;43.3189198755102;4713.59552778367;41.5807943488776;862.971561153061;343.390485517347
2304;;;;;3165.39789215102;46.3183973653061;6024.09632574286;75.4126480692857;837.557099928571;388.937370558163
2338;;;;;3496.20662113208;17.090766408805;8854.49087868056;455.932813319057;607.228361392453;378.51174854717
2349;;;;;3338.05381886792;15.3910872691824;9513.30133151075;384.461929168113;1200.61264139245;246.368750037736
2350;;;;;2377.7625042963;44.4796963214815;3750.80960933489;191.201915686889;595.088142306667;352.192211444444
2351;;;;;3332.32830326797;11.1029558287582;7063.89825235431;406.382864625686;1175.79445882765;300.873354254902
2352;;;;;2881.81834981132;7.40522700503145;3914.68004660509;550.155321243585;957.756702524528;294.317765943396
2353;;;;;3521.72039666667;27.0136677123457;8788.89821426055;225.719770479815;913.722681737037;487.695322462963
2354;;;;;1801.42882653846;15.5317237628205;3280.88828298212;203.988724536731;415.302139880769;190.121835288462
2357;;;;;7120.09764102564;38.7520478166667;4297.88976961673;96.3558147290385;517.531399880769;2011.81890313462
2359;;;;;14317.1644307692;87.1290479705128;8091.19464653981;149.614287748269;1345.95417372692;4368.14767621154
2362;;;;;8969.98860933334;53.2419128093333;2190.2088532014;38.5245271662;1132.708634276;1111.11324986
2367;;;;;11725.6857882353;108.334532205229;10459.0339494131;106.588430488431;2425.03681772157;2454.88319378431
2379;;;;;3733.88176111111;31.8250944263889;9338.66370875146;285.214046373125;914.4067384125;367.034925104167
2390;;;;;3876.50981333333;14.7463480956522;1945.47444041449;170.564648130435;1241.7401215;757.176184076087
2401;1.19114751913366;;;;;;;;;
2403;1.16936422972159;;;;;;;;;
2405;1.15498001486041;;;;;;;;;
2423;1.19114751913366;;;;;;;;;
2425;1.18333451034216;;;;;;;;;
2427;1.42119147335234;;;;;;;;;
2445;1.46486153573663;;;;;;;;;
2447;1.4227954685347;;;;;;;;;
2449;1.22814289188813;;;;;;;;;
2467;;;;;;;;;;
2469;;;;;;;;;;
2471;;;;;;;;;;
2489;1.37938411505079;;;;;;;;;
2491;1.03612914602544;;;;;;;;;
2493;1.08849182746253;;;;;;;;;
2511;1.33855985057069;;;;;;;;;
2512;1.50827288922055;;;;;;;;;
2513;1.17862600835523;;;;;;;;;
2514;1.31998455152334;;;;;;;;;
2515;1.21556963932962;;;;;;;;;
2516;1.25489339218751;;;;;;;;;
2517;1.40815254477314;;;;;;;;;
2519;1.26757012830617;;;;;;;;;
2521;1.35397890103339;;;;;;;;;
2539;1.08414551793613;;;;;;;;;
2541;1.1400266404184;;;;;;;;;
2543;1.1699851310825;;;;;;;;;
2561;1.19833962656425;;;;;;;;;
2563;1.231454365813;;;;;;;;;
2565;1.26063672977597;;;;;;;;;
2583;1.22514186864371;;;;;;;;;
2585;1.16791545987946;;;;;;;;;
2587;1.29069870400022;;;;;;;;;
2589;1.07923004882889;;;;;;;;;
2590;1.08766395898131;;;;;;;;;
2591;1.02624646603089;;;;;;;;;
2592;1.2062561189159;;;;;;;;;
2593;1.18214444940041;;;;;;;;;
2594;1.14582171978693;;;;;;;;;
2595;1.3467867936028;;;;;;;;;
2597;1.300736609335;;;;;;;;;
2599;1.27921202882331;;;;;;;;;
2617;1.17872949191538;;;;;;;;;
2619;1.09542522599273;;;;;;;;;
2621;1.11648413048374;;;;;;;;;
2655;1.31103322357016;;;;;;;;;
2657;1.11979560440861;;;;;;;;;
2659;1.12450410639554;;;;;;;;;
2677;1.28780116431596;;;;;;;;;
2678;0.982421178306364;;;;;;;;;
2679;0.897150724740825;;;;;;;;;
2680;1.07157226537762;;;;;;;;;
2681;0.874280857947155;;;;;;;;;
2682;0.837802902993451;;;;;;;;;
2683;1.22110600979777;;;;;;;;;
2684;1.02748826875271;;;;;;;;;
2685;1.04306254455564;;;;;;;;;
2686;1.37431342060333;;;;;;;;;
2687;1.25359984768561;;;;;;;;;
2688;1.38983595462618;;;;;;;;;
2689;;;;;;;;;;
2691;;;;;;;;;;
2693;;;;;;;;;;
2711;;;;;;;;;;
2713;;;;;;;;;;
2715;;;;;;;;;;
2717;;;;;;;;;;
2735;;;;;;;;;;
2737;;;;;;;;;;
2739;;;;;;;;;;
2757;;;;;;;;;;
2759;;;;;;;;;;
2761;;;;;;;;;;
2779;;;;;;;;;;
2780;;;;;;;;;;
2781;;;;;;;;;;
2782;;;;;;;;;;
2783;;;;;;;;;;
2784;;;;;;;;;;
2787;1.24940876349943;;;;;;;;;
2788;1.35801475987933;;;;;;;;;
2789;1.28919819237801;;;;;;;;;
2790;;;;;;;;;;
2791;;;;;;;;;;
2792;;;;;;;;;;
2793;;;;;;;;;;
2794;;;;;;;;;;
2795;;;;;;;;;;
2796;;;;;;;;;;
2797;;;;;;;;;;
2798;;;;;;;;;;
2799;;;;;;;;;;
2800;;;;;;;;;;
2801;;;;;;;;;;
2802;;;;;;;;;;
2803;;;;;;;;;;
2804;;;;;;;;;;
2805;;;;;;;;;;
2806;;;;;;;;;;
2807;;;;;;;;;;
2808;;;;;;;;;;
2816;;;;;;;;;;
2825;;;;;;;;;;
2834;;;;;;;;;;
2867;;;;;;;;;;
2900;;;;;;;;;;
2933;;;;;;;;;;
2966;;;;;;;;;;
3067;;;;;;;;;;
3089;;;;;;;;;;
3111;;;;;;;;;;
3112;;;;;;;;;;
3113;;;;;;;;;;
3114;;;;;;;;;;
3115;;;;;;;;;;
3116;;;;;;;;;;
3117;;;;;;;;;;
3119;;;;;;;;;;
3121;;;;;;;;;;
3123;;;;;;;;;;
3125;;;;;;;;;;
3127;;;;;;;;;;
3177;;;;;;;;;;
3178;;;;;;;;;;
3179;;;;;;;;;;
3180;;;;;;;;;;
3183;;;;;;;;;;
3237;;;;;;;;;;
3259;;;;;;;;;;
3260;;;;;;;;;;
3261;;;;;;;;;;
3262;;;;;;;;;;
3263;;;;;;;;;;
3264;;;;;;;;;;
3297;;;;;;;;;;
3299;;;;;;;;;;
3301;;;;;;;;;;
3303;;;;;;;;;;
3321;;;;;;;;;;
3323;;;;;;;;;;
3325;;;;;;;;;;
3327;;;;;;;;;;
3345;;;;;;;;;;
3346;;;;;;;;;;
3347;;;;;;;;;;
3348;;;;;;;;;;
3349;;;;;;;;;;
3350;;;;;;;;;;
3351;;;;;;;;;;
3352;;;;;;;;;;
3353;;;;;;;;;;
3354;;;;;;;;;;
3355;;;;;;;;;;
3356;;;;;;;;;;
3357;;;;;;;;;;
3358;;;;;;;;;;
3359;;;;;;;;;;
3360;;;;;;;;;;
3361;;;;;;;;;;
3362;;;;;;;;;;
3363;;;;;;;;;;
3364;;;;;;;;;;
3365;;;;;;;;;;
3366;;;;;;;;;;
3367;;;;;;;;;;
3368;;;;;;;;;;
3369;;;;;;;;;;
3370;;;;;;;;;;
3371;;;;;;;;;;
3372;;;;;;;;;;
3373;;;;;;;;;;
3374;;;;;;;;;;
3591;;;;;;;;;;
3592;;;;;;;;;;
3593;;;;;;;;;;
3599;;;;;;;;;;
3600;;;;;;;;;;
3601;;;;;;;;;;
3608;;;;;;;;;;
3609;;;;;;;;;;
3610;;;;;;;;;;
3615;;;;;;;;;;
3616;;;;;;;;;;
3617;;;;;;;;;;
3624;;;;;;;;;;
3625;;;;;;;;;;
3630;;;;;;;;;;
3631;;;;;;;;;;
3632;;;;;;;;;;
3639;;;;;;;;;;
3640;;;;;;;;;;
3641;;;;;;;;;;
3649;;;;;;;;;;
3650;;;;;;;;;;
3654;;;;;;;;;;
3655;;;;;;;;;;
3660;;;;;;;;;;
3661;;;;;;;;;;
3662;;;;;;;;;;
3667;;;;;;;;;;
3668;;;;;;;;;;
3673;;;;;;;;;;
3674;;;;;;;;;;
3679;;;;;;;;;;
3680;;;;;;;;;;
3686;;;;;;;;;;
3687;;;;;;;;;;
3688;;;;;;;;;;
3694;;;;;;;;;;
3695;;;;;;;;;;
3696;;;;;;;;;;
3703;;;;;;;;;;
3704;;;;;;;;;;
3705;;;;;;;;;;
3712;;;;;;;;;;
3713;;;;;;;;;;
3718;;;;;;;;;;
3719;;;;;;;;;;
3720;;;;;;;;;;
3727;;;;;;;;;;
3728;;;;;;;;;;
3733;;;;;;;;;;
3734;;;;;;;;;;
3739;;;;;;;;;;
3740;;;;;;;;;;
3745;;;;;;;;;;
3746;;;;;;;;;;
3747;;;;;;;;;;
3754;;;;;;;;;;
3755;;;;;;;;;;
3760;;;;;;;;;;
3766;;;;;;;;;;
3767;;;;;;;;;;
3768;;;;;;;;;;
3775;;;;;;;;;;
3776;;;;;;;;;;
3777;;;;;;;;;;
3784;;;;;;;;;;
3785;;;;;;;;;;
3790;;;;;;;;;;
3791;;;;;;;;;;
3792;;;;;;;;;;
3798;;;;;;;;;;
3799;;;;;;;;;;
3804;;;;;;;;;;
3805;;;;;;;;;;
3810;;;;;;;;;;
3811;;;;;;;;;;
3816;;;;;;;;;;
3817;;;;;;;;;;
3818;;;;;;;;;;
3825;;;;;;;;;;
3826;;;;;;;;;;
3831;;;;;;;;;;
3832;;;;;;;;;;
3837;;;;;;;;;;
3838;;;;;;;;;;
3839;;;;;;;;;;
3846;;;;;;;;;;
3847;;;;;;;;;;
3848;;;;;;;;;;
3855;;;;;;;;;;
3856;;;;;;;;;;
3857;;;;;;;;;;
3864;;;;;;;;;;
3865;;;;;;;;;;
3866;;;;;;;;;;
3867;;;;;;;;;;
3873;;;;;;;;;;
3874;;;;;;;;;;
3875;;;;;;;;;;
3882;;;;;;;;;;
3883;;;;;;;;;;
3884;;;;;;;;;;
3891;;;;;;;;;;
3892;;;;;;;;;;
3893;;;;;;;;;;
3900;;;;;;;;;;
3901;;;;;;;;;;
3902;;;;;;;;;;
3909;;;;;;;;;;
3910;;;;;;;;;;
3911;;;;;;;;;;
3918;;;;;;;;;;
3919;;;;;;;;;;
3920;;;;;;;;;;
3927;;;;;;;;;;
3928;;;;;;;;;;
3929;;;;;;;;;;
3935;;;;;;;;;;
3936;;;;;;;;;;
3937;;;;;;;;;;
3944;;;;;;;;;;
3945;;;;;;;;;;
3946;;;;;;;;;;
3953;;;;;;;;;;
3954;;;;;;;;;;
3955;;;;;;;;;;
3962;;;;;;;;;;
3963;;;;;;;;;;
3964;;;;;;;;;;
3967;;;;;;;;;;
3971;;;;;2212.81913018518;27.6041291805556;1705.92511234568;3.20696688768518;155.674456685185;440.240103644213
3972;;;;;2166.0358597;24.045885995;650.112433733333;1.5079586049;64.9928563;320.623678322417
4007;;;;;623.930611833333;5.51865790902778;404.295725666667;2.73204090138889;14.3130655416667;96.3598102525174
4008;;;;;712.50671787234;3.76879223262411;729.474914361702;2.97818302609929;39.9726921914894;99.562521647961
4043;;;;;2627.54484872;29.7654618716667;2375.7877452;11.7950002746667;336.1314708;496.86014753575
4044;;;;;1983.14016582609;21.1771700713768;2204.14829641304;4.8440382057971;245.229768217391;375.676118249004
4079;;;;;1321.90068538182;18.4352543857576;815.250535151515;3.06909137369697;49.2587876181818;239.211417238561
4080;;;;;1411.93971123077;29.2024866490385;1018.16181358974;3.75974553448718;130.519291730769;274.797251386939
