IDEN;IDEN.2;;Method;Texture;;Sable;Limon;Argile;Argile Catherine;Limon grossier;Limon moyen;Limon fin;1-2 mm;0.5-1.0 mm;0.25-0.5 mm;0.1-0.25 mm;0.05-0.01 mm;Sable fractionnement
97;97;;2;Sable loameux;;78,2210742;17,18248574;4,596440055;;7,457597024;7,082284787;2,64260393;;;;;;
98;98;;2;Sable loameux;;80,96030665;13,08731239;5,952380952;;4,744824556;6,116084967;2,226402871;;;;;;
99;99;;2;Sable loameux;;81,911339;12,56541788;5,523243119;;3,88060786;6,103172915;2,581637102;;;;;;
100;100;;2;Sable loameux;;80,7599285;14,25254302;4,987528474;;5,413808657;5,939172107;2,899562259;;;;;;
101;101;;2;Sable loameux;;85,04540163;10,8285301;4,126068272;;2,098827479;6,357526739;2,37217588;;;;;;
102;102;;2;Sable loameux;;83,83590032;10,67334623;5,490753453;;2,948016714;5,189836438;2,535493076;;;;;;
103;103;;2;Loam sableux;;61,52725223;32,47274777;6;;24,2372862;7,978353385;0,257108186;;;;;;
104;104;;2;Loam sableux;;65,35063596;29,57416417;5,075199873;;13,29145751;14,04782159;2,234885073;;;;;;
105;105;;2;Loam;;28,44146799;45,37897267;26,17955935;;11,54470622;20,81272838;13,02153806;;;;;;
106;106;;2;Sable loameux;;81,01418234;12,34611051;6,639707151;;5,356939123;5,817469354;1,171702031;;;;;;
107;107;;2;Loam sableux;;60,29058107;35,08920149;4,62021744;;19,09212058;12,45080658;3,546274337;;;;;;
108;108;;2;Sable loameux;;79,13721609;17,25667736;3,606106553;;7,687334469;4,901570022;4,667772867;;;;;;
109;109;;2;Loam sableux;;67,68166863;26,89337658;5,424954792;;17,54132753;6,403812511;2,948236532;;;;;;
110;110;;2;argile;;30,8;28,6;40,6;;;;;;;;;;
111;111;;2;Loam;;38,70822659;43,46719977;17,82457365;;23,80197611;12,24880446;7,416419193;;;;;;
112;112;;2;Sable loameux;;78,77297681;14,79036357;6,436659625;;7,185146117;6,031790776;1,573426675;;;;;;
113;113;;2;Loam limono-argileux;;9,895881876;51,45352526;38,65059287;;12,90962529;21,52067073;17,02322924;;;;;;
114;114;;2;Loam;;37,83172466;42,30213322;19,86614212;;24,68257513;10,28945275;7,330105337;;;;;;
115;115;;2;Loam;;41,2702861;38,57226617;20,15744773;;20,49827629;12,94102284;5,132967048;;;;;;
116;116;;2;Loam;;33,15736347;39,98961269;26,85302384;;7,975051453;18,0650696;13,94949163;;;;;;
117;117;;2;Loam;;41,37198969;36,3444748;22,28353552;;11,33334302;16,50361613;8,507515651;;;;;;
118;118;;2;Loam sableux;;61,95486041;29,96254124;8,082598358;;15,24688547;10,54114335;4,174512419;;;;;;
119;119;;2;Loam argileux;;26,34374521;36,9479699;36,70828489;;7,195378504;16,47871045;13,27388095;;;;;;
120;120;;2;Loam sableux;;60,78320738;33,71851409;5,498278528;;17,60822903;11,76598903;4,344296028;;;;;;
121;121;;2;Loam argileux;;21,18044931;43,09710164;35,72244905;;14,32155198;17,42746019;11,34808947;;;;;;
122;122;;2;Loam argileux;;38,7829988;29,89421295;31,32278825;;5,734228838;13,31902289;10,84096122;;;;;;
123;123;;2;Argile;;32,82415529;25,92523416;41,25061056;;5,643020597;10,86301032;9,419203241;;;;;;
124;124;;2;Argile;;19,94082739;28,44239859;51,61677402;;5,041612175;13,76386256;9,63692386;;;;;;
125;125;;2;Loam sableux;;54,74117169;30,16454005;15,09428827;;10,44788423;13,81251284;5,904142978;;;;;;
126;126;;2;Loam;;45,9116689;35,86373092;18,22460018;;9,67669181;15,04650745;11,14053166;;;;;;
127;127;;2;Loam sableux;;74,35717903;14,88377234;10,75904863;;4,662540004;7,500506087;2,720726247;;;;;;
128;128;;2;Loam;;47,03783056;32,15902451;20,80314493;;9,994818162;13,00377572;9,160430628;;;;;;
129;129;;2;Loam sableux;;59,05823456;28,98935652;11,95240893;;7,830355697;14,10574035;7,053260466;;;;;;
130;130;;2;Loam sableux;;65,59917307;21,78788928;12,61293765;;7,656265024;8,952031207;5,179593054;;;;;;
131;131;;2;Loam sableux;;52,58315812;35,20889713;12,20794474;;11,41779172;14,85556826;8,935537152;;;;;;
132;132;;2;Loam argileux;;30,6996672;33,65838805;35,64194475;;7,011471715;15,76306359;10,88385274;;;;;;
133;133;;2;argile;;;;54,4;;;;;;;;;;
134;134;;2;loam limoneux;;;;26;;;;;;;;;;
135;135;;2;argile limoneuse;;;;40,7;;;;;;;;;;
136;136;;2;argile;;;;42,4;;;;;;;;;;
137;137;;2;loam;;;;8,2;;;;;;;;;;
138;138;;2;loam sableux;;;;6,9;;;;;;;;;;
138,1;138,1;;;;;;;;;;;;;;;;;
139;139;;2;loam;;;;16,5;;;;;;;;;;
140;140;;2;loam sablo-argileux;;;;31,6;;;;;;;;;;
141;141;;2;loam sableux;;;;9,1;;;;;;;;;;
142;142;;2;loam sableux;;;;10,3;;;;;;;;;;
143;143;;2;loam limoneux;;;;10,4;;;;;;;;;;
144;144;;2;argile;;;;50,4;;;;;;;;;;
145;145;;2;loam;;;;19,2;;;;;;;;;;
146;146;;2;Argile;;20,3;38,3;41,4;41,5;6,4;15,3;16,6;;;;;;
147;147;;2;loam limono-argileux;;;;29,3;;;;;;;;;;
148;148;;2;loam argileux;;;;17,9;;;;;;;;;;
149;149;;2;loam;;;;32,9;;;;;;;;;;
150;150;;2;loam limono-argileux;;19,1;52,5;28,4;;;;;;;;;;
151;151;;2;Loam limoneux;;39,8;50,6;9,6;10,2;22;17,6;10,9;;;;;;
152;152;;2;loam;;45,9;46,1;8;;;;;;;;;;
153;153;;2;loam limoneux;;31,2;61,7;7,1;;;;;;;;;;
154;154;;2;loam;;42,9;40,8;16,3;;;;;;;;;;
155;155;;2;loam argileux;;39;22,7;38,3;;;;;;;;;;
156;156;;2;loam limoneux;;22,4;53,1;24,5;;;;;;;;;;
157;157;;2;loam limono-argileux;;17,3;50,3;32,4;;;;;;;;;;
158;158;;2;argile;;15,2;38,9;45,9;;;;;;;;;;
159;159;;2;loam;;46;30;24;;;;;;;;;;
160;160;;2;sable loameux;;84,9;9,6;5,5;;;;;;;;;;
161;161;;2;loam sablo-argileux;;51,1;19,7;29,2;;;;;;;;;;
162;162;;2;loam limono-argileux;;10,5;56,1;33,4;;;;;;;;;;
163;163;;;;;;;;;;;;;;;;;
164;164;;2;loam argileux;;26,3;46,1;27,6;;11,8;19,1;15,3;;;;;;
165;165;;2;loam limoneux;;31;64,1;4,9;;38,7;20,8;4,6;;;;;;
166;166;;2;loam;;40,3;42,2;17,5;;24;10,8;7,3;;;;;;
167;167;;2;loam sableux;;67,2;18,2;14,6;;5,3;6,8;6,1;;;;;;
168;168;;2;loam sableux;;65,2;19,1;15,8;;6,2;6,8;6;;;;;;
169;169;;2;loam sableux;;69,6;18,9;11,5;;4,9;8,6;5,4;;;;;;
170;170;;2;loam;;47,3;40,9;11,8;;12,9;19,1;8,9;;;;;;
171;171;;2;loam sableux;;52,9;34,5;12,6;;13;14,8;6,7;;;;;;
172;172;;2;loam;;44,8;47,9;7,3;;30,9;12;4,9;;;;;;
173;173;;2;loam limoneux;;35,7;52;12,3;;22,5;19,6;9,8;;;;;;
174;174;;2;argile limoneuse;;9,2;45,2;45,6;;11,5;19,1;14,6;;;;;;
175;175;;2;loam sableux;;56,1;27,6;16,3;;9,3;12,3;6;;;;;;
176;176;;2;loam argileux;;27,9;32,5;39,6;;27,1;-3,6;9;;;;;;
177;177;;2;loam sablo-argileux;;53,5;26;20,4;;5,4;11,2;9,5;;;;;;
178;178;;2;loam sablo-argileux;;50,4;27,2;22,4;;4,8;11,8;10,5;;;;;;
179;179;;2;sable loameux;;81,6;13,1;5,3;;5,8;5,2;2,1;;;;;;
180;180;;2;loam;;43,3;41,9;14,8;;15,9;18,1;7,9;;;;;;
181;181;;2;loam limono-argileux;;10,1;61,8;28,2;;14,8;30,4;16,6;;;;;;
182;182;;2;loam sableux;;55,1;30,1;14,8;;11,2;11,4;7,5;;;;;;
183;183;1;2;Loam;;47,8;34;18,2;;6,2;18,2;9,6;;;;;;
184;184;2;2;Loam sableux;;60,1;27,2;12,7;;6,4;14,4;6,4;;;;;;
185;185;3;2;Loam;;49,8;36,1;14,1;;6,3;20,1;9,7;12,29;15,65;8,34;6,04;4,21;46,53
186;186;4;2;Loam;;47,8;33,1;19,1;;6,2;18,2;8,7;11,67;25,17;14,99;5,41;3,31;60,55
