IDEN;M0.75;M5;M120;M420;M1440
1215;63.87225549;46.90618762;20.95808383;12.9740519;7.984031936
1229;11.47704591;8.982035928;5.489021956;3.992015968;2.994011976
1231;8.955223881;6.965174129;4.975124378;4.47761194;3.482587065
1233;16.47528707;10.98352471;5.99101348;4.992511233;3.494757863
1235;15.90457256;10.93439364;6.461232604;5.467196819;3.976143141
1237;14.48262085;9.988014383;5.99280863;4.494606472;3.495805034
1255;14.95066281;9.967108542;5.481909698;3.986843417;3.48848799
1257;13.48516632;8.990110878;5.493956648;4.495055439;3.995604835
1259;24.45353828;12.97534684;5.489569817;3.992414413;2.994310809
1261;24.87562189;12.93532338;5.472636816;3.980099502;2.487562189
1263;25.48470917;14.49130522;5.996402159;3.997601439;2.998201079
1281;20.39800995;10.44776119;4.47761194;3.482587065;2.487562189
1283;16.47528707;10.98352471;5.491762356;3.994008987;2.496255617
1285;47.61904762;33.73015873;19.84126984;13.88888889;7.936507937
1287;38.91438835;25.94292556;15.96487727;11.97365795;6.984633806
1289;28.86146497;17.91401274;10.94745223;6.96656051;4.97611465
1307;53.98920216;38.99220156;21.99560088;13.99720056;6.99860028
1309;53.45784678;45.94255267;49.77109873;49.77109873;71.10156961
1333;60.52788252;40.68267513;14.88390554;7.938082953;3.969041476
1335;69.40313306;45.60777315;17.84651993;9.914733294;4.957366647
1337;19.87083954;12.41927471;6.95479384;5.464480874;3.974167909
1338;18.46675983;11.47933719;5.989219405;4.991016171;2.994609703
1339;21.49355193;13.49595121;6.99790063;4.99850045;3.498950315
1340;42.94846185;29.96404315;17.97842589;12.9844187;8.989212944
1341;32.94728435;21.96485623;11.98083067;7.987220447;4.99201278
1342;29.95207668;19.96805112;12.97923323;8.985623003;6.988817891
1343;3.972983711;2.979737783;1.489868892;0.993245928;0.496622964
1345;5.99940006;3.99960004;2.499750025;1.99980002;1.499850015
1347;8.978451716;6.48443735;3.990422985;3.491620112;2.494014366
1365;16.48186994;11.9868145;7.491759065;4.994506043;3.49615423
1367;17.98201798;12.98701299;8.491508492;6.993006993;4.995004995
1369;16.97114905;11.97963462;7.487271638;6.488968753;4.492362983
1387;10.48427359;7.988017973;4.992511233;3.494757863;2.496255617
1389;11.99160588;9.493354652;5.496152693;4.496852203;3.497551714
1391;12.99220468;9.494303418;5.996402159;4.497301619;3.497901259
1409;13.49460216;9.496201519;5.99760096;4.49820072;2.99880048
1410;18.48890666;9.994003598;6.496102339;4.997001799;3.997601439
1411;14.48551449;10.48951049;6.493506494;4.995004995;3.496503497
1412;13.42615614;9.945300845;6.961710592;4.47538538;3.480855296
1413;12.9160457;9.935419771;5.961251863;4.967709886;3.974167909
1414;11.96291496;8.972186223;4.984547902;4.486093111;3.489183531
1415;13.5;9;5;3;2
1417;14.92091913;9.449915448;5.968367651;3.978911768;2.984183826
1419;13.49190486;8.494903058;4.997001799;3.997601439;2.998201079
1437;17.46506986;10.97804391;4.99001996;3.493013972;1.996007984
1439;17.8944229;10.93548066;5.964807635;4.473605726;3.47947112
1441;15.96647041;9.979044008;4.989522004;3.991617603;2.993713202
1459;16.49340264;11.49540184;5.99760096;4.49820072;2.99880048
1461;17.97842589;11.48621654;6.991610068;4.994007191;3.495805034
1463;16.96606786;9.98003992;5.988023952;4.491017964;2.994011976
1481;13.44755454;10.95726666;5.47863333;3.486403028;2.490287877
1483;13.99860014;9.9990001;5.99940006;3.99960004;2.99970003
1485;14.97902936;9.986019573;5.492310765;4.493708808;3.49510685
1503;14.99550135;10.49685094;5.99820054;3.99880036;2.499250225
1504;13.94283438;9.959167414;5.975500448;3.485708595;2.987750224
1505;15.45826269;9.973072704;6.981150893;4.487882717;2.991921811
1506;15.94896332;11.96172249;6.479266348;4.984051037;3.488835726
1507;14.40492748;10.43115438;5.463938009;3.973773098;2.483608186
1508;16.29468694;11.85068141;5.925340707;4.44400553;3.456448746
1509;32.16123499;12.14979989;4.288164666;2.144082333;1.429388222
1533;34.12484004;12.79681501;3.554670837;1.421868335;0.710934167
1555;24.00790849;13.41618415;4.942804689;3.530574778;2.118344867
1577;39.50896007;13.40482574;2.822068576;1.411034288;0
1599;32.37051793;12.94820717;3.984063745;2.988047809;1.992031873
1602;25.40599781;9.963136395;4.483411378;2.988940919;2.490784099
1605;15.45517998;13.46096321;8.475421278;7.478312893;5.982650314
1606;16.92721298;13.94005775;8.961465698;7.965747287;6.47216967
1607;15.47987616;12.98312194;8.488964346;6.990911815;5.992210127
