IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
168;06LEP00304;1.3;2.99;;;1.828;;
169;06LEP00305;1.28;3.34;;;2.118;;
170;06LEP00306;1.17;5.94;;;3.814;;
171;06LEP00307;1.24;4.31;;;2.623;;
172;06LEP00308;1.16;4.76;;;3.045;;
173;06LEP00309;1.24;3.47;;;2.22;;
174;06LEP00310;1.21;2.6;;;1.679;;
175;06LEP00311;1.27;4.33;;;1.869;;
176;06LEP00312;1.17;4.12;;;2.497;;
177;06LEP00313;1.19;3.42;;;2.055;;
178;06LEP00314;1.15;3.67;;;2.371;;
179;06LEP00315;1.26;4.54;;;2.606;;
180;06LEP00316;1.22;4.8;;;2.896;;
181;06LEP00317;1.2;3.42;;;2.084;;
182;06LEP00318;1.26;3.42;;;2.222;;
183;01LEP00500;1.08;3.1;;;2.566;;
184;01LEP00502;1.31;2.41;;;1.685;;
185;01LEP00504;1.09;4.2;;;2.451;;
186;01LEP00506;1.2;2.2;;;1.714;;
187;01LEP00508;1.32;1.58;;;0.915;;
188;01LEP00510;1.18;4.2;;;2.602;;
189;01LEP00512;1.29;2.27;;;1.497;;
190;01LEP00514;1.43;0.48;;;1.43;;
191;01LEP00516;1.45;1.31;;;0.87207;0.12942;0.0126
192;01LEP00518;1.37;1.17;;;0.924;;
193;01LEP00520;1.42;1.31;;;1.596;;
194;01LEP00522;1.22;2.2;;;1.324;;
195;01LEP00524;1.1;2.61;;;1.628;;
196;01LEP00526;1.12;4.2;;;2.586;;
197;01LEP00528;1.16;3.1;;;2.246;;
198;01LEP00530;1.23;2.41;;;1.836;;
199;01LEP00532;1.2;2.34;;;1.913;;
201;01LEP00538;1.52;1.79;;;1.893;;
202;01LEP00540;1.41;2.82;;;2.394;;
203;01LEP00542;1.5;2.34;;;2.008;;
204;01LEP00544;1.42;4.13;;;3.396;;
205;01LEP00546;1.32;3.92;;;2.146;;
206;01LEP00548;1.37;2.68;;;1.668;;
207;01LEP00550;1.38;2.48;;;2.164;;
208;01LEP00552;1.35;3.23;;;2.444;;
209;01LEP00554;1.4;3.78;;;3.216;;
