IDEN;1_2mm;0.5_1.0mm;0.25_0.5mm;0.1_0.25mm;0.05_0.01mm
927;1.23752495;7.8;4.471057884;24.29141717;34.6506986
928;0.858454781;0.798562587;2.715112797;31.4;42.54342184
929;0.819180819;0.43956044;1.718281718;19.78021978;48.85114885
930;0.8;1.2;5.38;27.58;41.82
931;0.99980004;1.23975205;5.818836233;27.6144771;38.73225355
932;1.27744511;19.88023952;51.16766467;13.79241517;2.345309381
933;1.199760048;19.78604279;53.39932014;14.83803239;1.879624075
934;1.699660068;23.86522695;45.0709858;17.5764847;2.199560088
943;12.71474231;40.93088294;19.78625649;4.274870156;2.796644027
944;15.0369926;39.9720056;18.29634073;4.369126175;2.899420116
945;17.01659668;38.02239552;21.52569486;5.118976205;3.089382124
954;0.958849381;7.820615262;29.5844986;33.59968038;10.45745106
955;0.958179459;7.815151213;25.50154706;33.44645174;12.22676914
956;0.629559308;3.987208954;22.05456181;31.4379934;12.57120016
965;0.832012678;5.408082409;10.99445325;14.30269414;19.57210777
966;0.934022258;3.8354531;7.86963434;11.86406995;20.1709062
967;0.838323353;12.25548902;4.9500998;10.69860279;19.8003992
976;0.805659265;4.205148359;7.565337001;9.510709373;12.71369621
977;1.277955272;4.952076677;8.126996805;11.40175719;12.14057508
978;1.227113362;5.025321387;8.745617452;11.33619011;12.71912739
987;0.59970015;0.989505247;11.36431784;47.52623688;19.2103948
990;4.580838323;1.017964072;16.40718563;51.33732535;14.6506986
1001;6.518696261;22.92541492;36.69266147;13.85722855;3.449310138
1002;9.537601119;23.40956756;32.37790872;13.79207031;3.635274144
1003;14.30845771;25.46268657;26.97512438;12.46766169;3.512437811
1012;3.970074813;16.21945137;39.56109726;20.319202;4.309226933
1013;3.097831518;14.16008794;38.02338363;24.34295993;4.566803238
1014;3.230309073;13.12063809;39.85044865;23.08075773;4.705882353
1023;14.88196035;24.97260683;28.00079689;10.45920908;3.068034665
1026;17.22655469;28.85422915;23.22535493;9.648070386;3.209358128
1029;0.962492558;3.512601707;25.60031752;43.99682477;9.605080373
1030;0.848557452;3.593890386;26.27533194;41.68912848;11.02126385
1031;0.789763071;3.608917325;26.76197141;43.20703789;9.437168849
1040;0.739039249;1.897533207;18.88544892;46.81913512;13.612304
1041;0.539730135;1.75912044;20.97951024;46.93653173;11.6141929
1042;0.359856058;1.459416234;18.82247101;49.55017993;13.93442623
1051;1.233339964;2.516411379;23.81141834;42.34135667;9.120747961
1052;0.73985203;2.679464107;23.12537493;42.31153769;11.11777644
1053;0.749925007;1.889811019;23.51764824;42.92570743;10.81891811
1062;0.457029309;0.715350224;23.27868852;51.57476403;7.908594138
1063;0.728034307;0.937468834;24.38416276;49.43652139;7.848808218
1064;0.656847134;0.835987261;23.75597134;50.2388535;7.8125
1073;1.531304516;4.807133165;19.42236868;27.23396007;9.536731925
1076;0.317491815;1.37910507;11.18166485;36.27343983;26.04425042
1085;0.509388734;0.908909309;5.33359968;30.26368358;32.61086696
1086;0.63968016;0.859570215;5.607196402;27.72613693;34.59270365
1087;0.699510343;0.849405416;5.136404517;29.68921755;31.76776257
1096;1.248543366;4.19510571;12.23572499;30.44781089;21.4749459
1097;1.99960008;7.648470306;16.46670666;21.49570086;20.0759848
1098;2.399200267;12.69576808;19.01032989;16.3278907;15.52815728
1107;1.155358899;5.199115044;17.37954769;17.63765978;13.80285152
1108;2.041019514;11.1210673;23.347272;20.28076464;10.34448427
1109;2.58405667;13.19964083;31.45764741;26.70857029;4.399880275
1110;1.856843366;9.433962264;29.91913747;34.06209444;3.843466108
1119;0.329868053;1.139544182;2.359056377;20.11195522;41.94322271
1120;0.689104165;0.888844502;2.267052831;15.35004494;37.90072905
1121;0.319968003;0.879912009;1.879812019;14.92850715;38.09619038
1122;0.4;0.87;1.91;13.49;38.69
1131;4.22;17.07;45.94;11.57;1.75
1134;2.127659574;5.98341824;41.70412546;22.54520028;3.596044351
1137;1.99;5.89;43.16;21.12;3.25
1207;0.8;16.8;54;15.5;2.1
1209;0.9;14.1;48.3;20.4;3.4
1211;1.3;18.9;50.5;13.2;2.5
1229;0.9;18;48.3;17;2.5
1231;5.7;48.9;30;3.7;1.5
1233;13.8;43;17.1;4.2;2.2
1235;13.2;45;14.7;4.1;2.4
1237;17.9;44.7;15.1;3.2;1.9
1255;18.3;43.5;13.3;3.8;2.3
1257;20.6;45;12.7;3;1.8
1259;0.5;2.6;21.3;29.7;19
1261;0.4;3;21.3;29.4;17.3
1263;0.6;2.5;20.9;26.6;18.3
1281;0.7;3.2;19.9;39.2;15.8
1283;0.8;4.5;34.7;28.7;10.1
1285;2.4;12;9;14.1;14
1287;2.2;10.9;14;16.6;13.7
1289;4;17.3;23;12.6;9.8
1307;2.1;5.5;16.8;13.1;11.1
1309;1.4;1.6;3.3;19.2;14.1
1311;0.9;3.9;7.1;12.1;10.1
1313;1.2;2.5;4.7;10.6;13.2
1315;0.3;0.5;22.5;44.6;9.8
1333;0.6;0.9;22.7;43.6;9.2
1335;3.1;9.5;16.6;17.2;16.8
1337;5.6;15.9;18.6;12.8;13.3
1338;6.6;36.9;35.5;15;1.6
1339;4.3;29.2;37.6;20;2.8
1340;5;29.7;34.1;16.7;3.7
1341;10.6;24.7;28;13.4;3.9
1342;10.7;25.8;29.5;11.4;3.1
1343;13.5;24.4;26;12.4;3.6
1345;3;15.1;48.7;19.1;2.3
1347;3.6;14.8;43.1;22.1;2.9
1365;4.7;18;38.2;20.1;3.3
1367;13.8;33.9;26.3;8.9;2.4
1369;14.9;31.2;25.8;9.7;2.5
1387;11.6;28.6;27.7;12.3;3
1389;4.1;17.9;39.8;20.4;3
1391;4.6;16.9;40.4;20.8;3.1
1409;5.5;18.9;36.2;20.6;3.5
1410;0.7;4;28.6;41.8;9.4
1411;0.7;4.5;28.5;40.6;9.5
1412;0.5;5.9;33.7;36.4;8.3
1413;0.6;2.1;21;44.9;12.2
1414;0.4;2.2;22.7;44.1;11.7
1415;0.4;2;21.9;43.6;13.1
1417;0.3;1.9;23;45.4;10.2
1419;0.6;1.7;20.3;47;11.6
1437;0.3;1.5;22;46.8;10.5
1439;0.2;1.1;24.1;53;6.4
1441;0.3;1.2;23;53;6.7
1459;0.4;1.1;20.1;54.5;7.3
1461;0.4;1.2;23.3;50.1;7.9
1463;0.1;0.7;19.3;55.7;7.5
1481;0.2;1.2;27.5;46.7;6.7
1483;0.3;1.2;24.5;48.2;7.4
1485;0.4;1.4;27.7;45.5;8.3
1503;0.2;1.2;29.4;44.9;7.3
1504;0.5;1.4;6.6;29.4;31.2
1505;0.3;3.4;10.9;20.1;29.9
1506;1.1;11.1;28;22.7;12.5
1507;0.3;1;2.8;15.5;35.6
1508;0.6;4.6;17.2;22.1;22.8
1509;1.2;9;17.2;27.9;22.2
1533;12.2;32.5;32.3;4.8;1.2
1555;16;30.3;29.9;4.3;1.1
1577;15.3;33.1;30;4.4;1.4
1599;5.5;17.6;26.8;27.4;6.4
1602;6.4;17.5;23.8;26.6;8.3
1605;0.6;0.7;1;10.6;21.5
1606;0.7;0.4;2.8;12.6;24.4
1607;1.6;2.3;5.4;22.6;15.9
1608;1.6;3;7;21.1;15.8
1773;0.859656138;4.518192723;5.897640944;12.63494602;1.099560176
1774;0.418910832;1.795332136;6.902054658;8.757231199;16.79632954
1775;1.8;2.6;7.9;25.1;10.3
1776;2.387109608;3.839267953;6.644121743;8.215635568;7.718321066
1777;2.2;1.7;2.6;4;0
1778;4.2;9.1;13.4;9.1;5.9
1779;1.8;3;8.2;4.4;8.1
1780;0.8;0.8;2.3;11.6;20.7
1781;2.9;6;15.8;11.4;4.4
1782;0.558899398;0.881341359;4.148753224;15.24075666;16.63800516
1783;2.4;1.3;1.9;11.2;15.8
1784;0.7;1.5;7.3;10.9;8.7
1785;1.6;1.7;4.7;8.4;3.8
1786;1.1;7.3;33;24.2;7.3
1787;1.27770014;0.978239169;1.696945498;1.796765822;1.357556398
1788;0.698324022;1.197126895;1.097366321;2.474062251;2.773343974
1789;1.3;1.8;3.3;5.7;5.7
1790;1;1;1.2;8;4.4
1791;1.433977295;1.135232025;2.330213105;2.131049592;1.513642701
1792;0.942587832;2.549271637;9.018851757;8.954584404;2.677806341
1793;1.084171102;1.517839543;3.410210921;6.48531441;2.917405874
1794;1.040031397;2.021193093;6.083202512;6.416797488;5.180533752
1795;1.3;1.3;4.5;9.5;2.7
1796;1.386138614;3.04950495;4.217821782;3.128712871;1.504950495
1797;2.9;0.9;1;1.2;0.9
1798;0.9;0.6;0.9;1.4;1.1
1799;1.1;0.8;1.3;1.4;1.7
1800;1.2;2.5;10.9;26.5;15.3
1801;0.666666667;1.182795699;1.741935484;1.935483871;1.032258065
1802;0.173197662;0.432994155;1.082485386;5.542325179;19.72288374
1861;0.522041763;1.218097448;2.049497293;3.267594741;4.002320186
1863;2.602158828;2.043176561;2.968388589;5.030840401;4.66461064
1918;0.7;1.12;2.1;4.18;4.66
1954;0.058354406;0.311223497;0.622446995;33.38844583;26.11359658
2223;4.36;13.62;18.35;15.51;13.08
2224;0.36;0.73;1.49;28.78;27.97
2225;0.453343408;0.51630777;1.876337993;45.15804055;25.08500189
2226;1.86842364;1.917592684;4.03186154;36.09007769;22.61775986
2227;4.813742135;15.6796165;25.46689304;18.65574753;3.994806751
2228;2.7270003;6.642693038;13.69493557;17.15113375;19.07901309
2229;1.156355011;2.905712591;22.63293141;33.43546155;16.47558806
2230;0.691016782;5.103652517;32.24086871;34.22507404;13.71174729
2232;6.340819022;14.24482607;17.9656539;16.97490092;11.25055042
2233;1.477635783;1.218051118;2.31629393;36.12220447;26.07827476
2234;1.892775741;1.080170449;2.943216728;41.20503419;23.41690615
2235;0.19;0.27;6.93;55.73;7.36
2236;0.578726801;0.458990222;8.36160447;65.52584315;7.6032728
2237;7.095343681;12.81999597;14.43257408;12.59826648;13.76738561
2238;0.67;4.31;19.37;28.92;16.36
2240;1.2;7.4;27.7;31.7;13.7
2241;1.173991571;3.953441702;19.01464981;33.39353803;16.91751957
2245;1.689860835;2.117296223;3.538767396;29.91053678;25.08946322
2247;2.749594156;7.092126623;16.9338474;30.58035714;18.90219156
2248;1.794846084;8.462849694;30.12132758;28.98826832;11.4408904
2249;1.957259836;9.426802477;19.71240264;31.92530457;14.88915518
2256;0.960534558;3.695969931;4.802672792;5.387346001;12.80016705
2257;2.550817059;2.590673575;3.746512555;8.907931447;10.46233559
2269;0.904799371;1.809598741;13.4736428;38.41463415;22.61014949
2275;1.644245142;6.63303438;9.734678625;13.75186846;20.98281016
