IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
458;01LEP00090;30;60;;;;;;;4.04;;;;30;4.2;117;8;;;;1893;;;;;;;
374;01LEP00011;15;30;3.92;;;2.885;0.01881;0.2085;4.05;;;;3.79;85.3;606;68;;;;1727;;;;;;;
414;01LEP00134;15;30;2.41;;;2.174;0.00156;0.1163;4.07;;;;4.136;26.9;114;9;;;;1948;;;;;;;
425;01LEP00167;15;30;3.1;;;2.014;0.00288;0.1398;4.1;;;;27.91;21;160;8;;;;2142;;;;;;;
2804;16ML0012;;;;;;2.228;0.03;0.24;4.1;;;5.62;94.74;89.29;466.89;82.76;13.65;3.48;0.96;1798.57;342.97;17.2;;;;;
446;01LEP00051;30;60;;;;;;;4.11;;;;940;99.4;393;144;;;;1577;;;;;;;
387;01LEP00050;15;30;4.26;;;2.486;0.01693;0.2146;4.14;;;;2.42;145.8;813;145;;;;1737;;;;;;;
427;01LEP00173;15;30;8.53;;;5.248;0.03151;0.2489;4.14;;;;4.67;32.6;173;9;;;;2325;;;;;;;
484;01LEP00168;30;60;;;;;;;4.14;;;;470;12.6;90;6;;;;2707;;;;;;;
462;01LEP00102;30;60;;;;;;;4.15;;;;160;29.9;100;24;;;;1315;;;;;;;
398;01LEP00086;15;30;7.91;;;4.888;0.02337;0.2514;4.16;;;;11.08;27.3;134;11;;;;2458;;;;;;;
2396;;;;;2.008;;1.289;0.01533;0.1355;4.16;4.53;;6.49;;55.95;346.5;46;;;;989;;7.1;;;;;
388;01LEP00053;15;30;5.09;;;3.245;0.0132;0.1003;4.17;;;;4.98;14.5;149;9;;;;2229;;;;;;;
438;01LEP00027;30;60;;;;;;;4.17;;;;170;348.6;210;74;;;;1116;;;;;;;
571;10LEP00121;0;20;;;;2.903;;;4.17;;;;95.1;;;;;;;1180.44;154.72;;;;;;
590;10LEP00140;0;20;;;;0.709;;;4.17;;;;106.38;;;;;;;1118.79;169.76;;;;;;
484.02;01LEP00174;;;;;;;;;4.18;;;;710;4.5;66;5;;;;2500;;;;;;;
382;01LEP00035;15;30;0.83;;;0.987;-0.00408;0.04623;4.19;;;;22.82;72.4;212;35;;;;1947;;;;;;;
383;01LEP00038;15;30;0.76;;;;;;4.19;;;;22.84;71.3;208;34;;;;1846;;;;;;;
459;01LEP00093;30;60;;;;;;;4.19;;;;300;4.5;64;5;;;;2562;;;;;;;
313;01LEP00575;30;60;;;;;;;4.2;4.66;;;16.34;130.5;1105;121;;;;1937;;;;;;;
435;01LEP00018;30;60;;;;;;;4.2;;;;;;;;;;;;;;;;;;
562;10LEP00112;0;20;;;;1.432;;;4.2;;;;117.55;;;;;;;1024.41;90.25;;;;;;
447;01LEP00054;30;60;;;;;;;4.21;;;;210;86;699;140;;;;1825;;;;;;;
376;01LEP00017;15;30;6.26;;;4.044;0.03338;0.2932;4.22;;;;3.86;113;967;125;;;;1488;;;;;;;
589;10LEP00139;0;20;;;;0.651;;;4.22;;;;40.05;;;;;;;1058.19;109.91;42.97;;;;;
2789;14LEP03487;0;20;;;;1.502;0.00446;0.1362;4.22;;;;188.82;113.12;218.14;35.59;36.67;3.17;1.01;1078.64;423.77;8.54;;;;;
558;10LEP00108;0;20;;;;1.51;;;4.23;;;;132.93;;;;;;;975.78;179.56;;;;;;
378;01LEP00023;15;30;0.69;;;1.241;-0.01091;0.04715;4.24;;;;5.64;90.5;313;72;;;;1541;;;;;;;
1133;14LEP01203;0;20;;;;1.829;0.01055;0.2018;4.24;;;;160.05;149.36;268.19;34.35;33.45;1.42;0.69;1412.17;270.19;;;;32.172;;
2335;;;;;1.778;;1.341;0;0.132;4.24;4.78;;6.17;;103.1;190.5;17;;;;1736;;6.9;;;;;
986;14LEP01055;0;20;;;;2.06;0.02829;0.2179;4.25;;;;44.18;125.73;397.16;30.8;19.32;0.82;0.89;1262.19;356.94;;;;22.72;;
2260;1JGF00053;0;20;;;;7.362;0.02688;0.3377;4.25;;;;133.71;68.1;383.46;39.97;3.5;4.05;0.53;789.42;91.73;;;;44.2434;;
2788;14LEP03486;0;20;;;;1.71;0.00399;0.1633;4.26;;;;184.12;92.42;235.64;38.87;35.84;3.19;1.07;1158.14;451.96;;;;;;
377;01LEP00018;15;30;7.26;;;3.394;0.0223;0.2594;4.27;;;;82.1;117.8;786;118;;;;1683;;;;;;;
461;01LEP00099;30;60;;;;;;;4.27;;;;440;6.2;180;13;;;;1599;;;;;;;
576;10LEP00126;0;20;;;;1.71;;;4.27;;;;251.55;;;;;;;1253.63;229.6;;;;;;
1183;14LEP01253;0;20;;;;1.82;0.00221;0.2011;4.27;;;;62.78;106.77;257.72;34.89;27.23;0.68;0.17;1232.39;249.08;;;;;;
2787;14LEP03485;0;20;;;;1.474;0;0.1202;4.27;;;;142.67;78.75;224.74;34.79;34.01;2.65;0.98;1160.03;407.71;;;;;;
283;01LEP00513;30;60;;;;;;;4.28;4.65;;;113.1;236.2;504;67;;;;2006;;;;;;;
379;01LEP00026;15;30;1.03;;;1.217;-0.0077;0.05185;4.28;;;;6.2;21.3;280;46;;;;1348;;;;;;;
1132;14LEP01202;0;20;;;;1.894;0.00999;0.2192;4.28;;;;161.5;179.62;288.99;44.63;38.74;1.71;0.89;1428.04;294.83;;;;39.757;;
1185;14LEP01255;0;20;;;;1.723;0.0097;0.1872;4.28;;;;62.05;111.83;264.27;27.57;22.05;0.97;0.17;1178.88;231.7;;;;;;
2331;;;;;2.332;;5.081;0.05838;0.2418;4.28;5.05;;6.34;;229.95;496.5;82;;;;1029.5;;10.9;;;;;
2348;;;;;4.214;;2.514;0.00791;0.2072;4.28;4.6;;6.08;;207.3;379.5;57;;;;1730;;16.9;;;;;
553;10LEP00103;0;20;;;;1.5;;;4.29;;;;66.16;;;;;;;912.59;187.07;;;;;;
