IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
1608.018;1;20;40;;;;0.692;0;0.05624;;;;;21.76;27.47;215.08;17.45;1.56;0.42;0.17;1598.04;4.55;;;;9.1008;;
1608.019;1;0;20;;;;2.632;0.01638;0.1806;;;;;127.19;140.28;1375.15;62.97;10.2;14.58;1.6;1931.27;85.75;;;;42.4384;;
1608.02;1;20;40;;;;0.979;0;0.06068;;;;;8.89;33.73;316;19.53;0.72;0.58;0.23;1666.48;9.97;;;;18.1976;;
1608.021;1;0;20;;;;2.138;0.01497;0.1397;;;;;147.27;181.61;1294.05;63.48;9.96;13.78;1.52;1924.88;77.74;;;;33.4009;;
1608.022;1;20;40;;;;0.673;0;0.04307;;;;;25.41;25.39;219.8;14.8;1.33;0.73;0.27;1513.62;1.03;;;;10.7753;;
1608.023;1;0;20;;;;2.024;0.01356;0.1257;;;;;125.5;100.93;1014.68;57.67;8.52;10.31;1.41;1946.76;76.06;;;;28.58;;
1608.024;1;20;40;;;;0.768;0;0.05907;;;;;19.14;26.12;183.35;11.9;1.2;0.41;0.17;1684.97;2.65;;;;8.3914;;
1609;15PP00001;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
1609.01;1;0;20;;;;2.627;0.01503;0.1794;;;;;147.63;119.09;1488.47;70.9;9.5;14.41;1.59;1937.47;83.33;;;;37.0868;;
1609.02;1;20;40;;;;1.717;0.00365;0.1174;;;;;13.42;42.23;757.71;42.75;2.4;1.81;0.43;1734.21;58.53;;;;19.8302;;
1609.03;1;0;20;;;;2.362;0.01321;0.1696;;;;;140.21;142.04;1275.76;62.52;7.7;12.81;1.38;1844.59;75.46;;;;38.0337;;
1609.04;1;20;40;;;;0.73;0;0.0561;;;;;16.59;29.89;299.31;17.88;1.56;0.69;0.21;1588.22;2.19;;;;8.3669;;
1609.05;1;0;20;;;;2.284;0.01621;0.1645;;;;;154.82;126.26;1219.75;72.16;11.15;14.81;1.61;1961.75;94.71;;;;35.2711;;
1609.06;1;20;40;;;;1.009;0;0.06331;;;;;2.92;26.32;310.99;19.24;1.7;0.55;0.23;1616.86;7.5;;;;10.0106;;
1609.07;1;0;20;;;;2.663;0.01796;0.1724;;;;;124.42;148.98;1396.46;72.86;11.5;14.94;1.71;1872.67;86.42;;;;40.2881;;
1609.08;1;20;40;;;;1.412;0.00365;0.0969;;;;;8.71;38.97;507.08;27.9;1.61;1.56;0.34;1811.92;15.85;;;;24.0875;;
1609.09;1;0;20;;;;2.425;0.01095;0.1587;;;;;116.36;111.4;1222.42;70.58;9.12;11.15;1.33;1819.06;75.72;;;;30.5331;;
1609.1;1;20;40;;;;0.493;0;0.02459;;;;;41.62;21.56;156.64;9.64;3.24;0.46;0.2;1522;10.42;;;;14.9804;;
1609.11;1;0;20;;;;2.519;0.01318;0.1666;;;;;102.33;127.39;1161.42;65.57;6.5;9.04;1.3;1924.72;70.49;;;;23.3645;;
1609.12;1;20;40;;;;0.933;0;0.04194;;;;;3.53;33.28;303.42;20.52;0.57;0.6;0.24;1721.96;10.85;;;;15.0971;;
1609.13;1;0;20;;;;2.348;0.01694;0.1961;;;;;101.33;117.25;1238;63.55;8.72;10.52;1.36;1791.68;71.74;;;;28.8703;;
1609.14;1;20;40;;;;2.315;0.0092;0.1418;;;;;15.42;53.6;915.56;46.69;1.87;3;0.56;2023.76;48.79;;;;39.5209;;
1609.15;1;0;20;;;;2.445;0.01686;0.1703;;;;;107.64;128.85;1361.33;67.1;7.45;9.88;1.59;2064.62;74.32;;;;30.7149;;
1609.16;1;20;40;;;;1.487;0.00705;0.0873;;;;;0;40.9;709.24;42.44;0.59;0.66;0.28;1944.89;19.81;;;;58.8424;;
1609.17;1;0;20;;;;2.334;0.01459;0.1569;;;;;128.5;140.97;1100.49;66.96;7.09;11.5;1.42;1974.62;69.93;;;;29.159;;
1609.18;1;20;40;;;;1.028;0;0.06672;;;;;23.08;39.02;325.01;19.94;1.4;1.34;0.31;1623.83;9.55;;;;15.6279;;
1609.19;1;0;20;;;;2.244;0.00964;0.1473;;;;;126.81;120.27;1406.23;64.01;9.34;12.59;1.48;1957.74;68.18;;;;28.5677;;
1609.2;1;20;40;;;;2.045;0.00065;0.1128;;;;;9.9;37.05;1011.31;53.72;1.99;1.84;0.43;2210.91;49.14;;;;33.0402;;
1609.21;1;0;20;;;;2.351;0.02143;0.1837;;;;;114.71;128.71;1385.38;74.11;7.61;10.32;1.39;1914.1;74.2;;;;25.3995;;
1609.22;1;20;40;;;;1.067;0;0.05918;;;;;10.07;32.8;471.36;27.4;0.58;0.7;0.26;1662.05;35.16;;;;16.5044;;
1609.23;1;0;20;;;;2.691;0.016;0.1676;;;;;85.98;134.19;1173.05;69.16;8.87;10.72;1.46;2024.46;80.08;;;;24.2793;;
1609.24;1;20;40;;;;0.801;0;0.03009;;;;;4.76;32.5;308.87;20.06;0.63;0.7;0.21;1713.47;6.67;;;;13.8109;;
1610;15PP00002;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
1610.01;2;0;20;;;;1.376;0.00988;0.1588;;;;;158.75;252.07;807.77;75.26;20.23;5.62;3.03;805.24;496.58;;;;114.8264;;
1610.02;2;20;40;;;;0.492;0;0.03192;;;;;7.54;47.89;417.76;42.89;9.58;1.62;1.73;517.18;245.65;;;;19.8117;;
1610.03;2;0;20;;;;1.369;0.01163;0.1478;;;;;170.08;164.27;894.86;63.19;24.17;6.13;3.01;781.9;552.03;;;;36.6421;;
1610.04;2;20;40;;;;0.42;0;0.03885;;;;;22.4;41.16;305.7;28.48;9.69;1.57;1.33;421.18;225.12;;;;9.378;;
1610.05;2;0;20;;;;1.43;0.01434;0.1717;;;;;164.26;118.3;907.29;64.42;25.77;6.12;2.67;803.23;533.45;;;;48.3924;;
1610.06;2;20;40;;;;0.425;0;0.04644;;;;;15.09;29.82;350.24;30.29;9.87;1.74;1.26;433.49;224.48;;;;9.6218;;
1610.07;2;0;20;;;;1.474;0.00966;0.1383;;;;;179.2;190.01;704.17;62.35;20.9;5.64;2.76;884.48;567.7;;;;37.6649;;
1610.08;2;20;40;;;;0.456;0;0.02313;;;;;9.61;26.93;263.87;29.18;7.33;1.26;1.15;397.99;206.69;;;;6.5389;;
1610.09;2;0;20;;;;1.576;0.01101;0.1333;;;;;136.63;188.13;762.7;62.03;20.71;5.23;2.91;775.79;495.1;;;;33.4898;;
1610.1;2;20;40;;;;0.515;0;0.03328;;;;;5.87;43.31;459.76;38.24;7.94;1.59;1.72;560.2;261.65;;;;8.7069;;
1610.11;2;0;20;;;;1.565;0.01208;0.152;;;;;163.18;232.53;816.71;69.61;22.18;6.5;3.09;867.77;556.94;;;;41.565;;
1610.12;2;20;40;;;;0.727;0.00187;0.06153;;;;;10.39;53.88;608.15;49.73;8.87;2.33;2.57;640.99;321.28;;;;16.3091;;
1610.13;2;0;20;;;;1.433;0.00884;0.1453;;;;;172.02;156.63;674.29;66.84;22.09;5.34;2.4;952.01;561.71;;;;52.7549;;
1610.14;2;20;40;;;;0.553;0;0.0494;;;;;10.56;38.56;497.18;38.59;10;1.69;1.81;565.9;269.63;;;;15.0751;;
1610.15;2;0;20;;;;1.431;0.00949;0.1463;;;;;148.31;186.69;733.37;62.68;19.56;5.02;2.86;810.65;500.42;;;;47.8409;;
1610.16;2;20;40;;;;0.452;0;0.03283;;;;;14.43;32.95;263.57;28.34;11.08;1.43;1.25;390.21;219.28;;;;9.2027;;
1610.17;2;0;20;;;;1.667;0.01751;0.1515;;;;;175.51;126.54;794.05;70.73;21.23;5.85;2.88;877.08;553.38;;;;45.6951;;
1610.18;2;20;40;;;;0.529;0.00079;0.03697;;;;;6.71;29.44;335.61;28.68;9.1;1.43;1.3;457.41;254.56;;;;155.6984;;
1610.19;2;0;20;;;;1.435;0.01401;0.1413;;;;;172.31;178.95;633.56;66.83;20.05;5.34;2.69;831.86;569.14;;;;50.0701;;
1610.2;2;20;40;;;;0.506;0;0.03272;;;;;12.37;35.63;305.57;32.33;11.4;1.44;1.31;451.59;226.9;;;;9.6501;;
1610.21;2;0;20;;;;1.529;0.01248;0.1255;;;;;143.95;208.18;666.5;61.54;16.29;4.93;2.71;834.26;498.54;;;;44.9413;;
1610.22;2;20;40;;;;0.476;0;0.01739;;;;;9.38;39.89;275.14;26.65;7.52;1.15;1.21;393.07;185.76;;;;10.3083;;
1610.23;2;0;20;;;;1.628;0.01236;0.161;;;;;147.25;242.26;695.28;62.97;16.07;5.21;2.85;859.98;498.34;;;;66.3451;;
1610.24;2;20;40;;;;0.47;0;0.02258;;;;;24.42;38.79;322.75;31.67;6.89;1.48;1.19;419.71;231.49;;;;10.796;;
1611;15PP00003;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
1611.01;2;0;20;;;;1.391;0.00892;0.1294;;;;;169.42;299.95;613.93;51.36;15.84;4.72;2.54;701.43;448.03;;;;37.3037;;
1611.02;2;20;40;;;;0.443;0;0.06116;;;;;16.17;45.38;291.93;27.37;5.8;1.29;1.08;400.11;188.81;;;;10.6431;;
1611.03;2;0;20;;;;1.375;0.00939;0.1664;;;;;120.51;118.9;638.94;60.25;17.76;4.72;2.71;713.99;418.42;;;;36.9188;;
1611.04;2;20;40;;;;0.49;0;0.02205;;;;;2.79;38.22;364;25.67;5.27;1.16;1.36;434.69;199.06;;;;9.6526;;
1611.05;2;0;20;;;;1.516;0.00862;0.1338;;;;;196.96;152.03;581.93;60.93;14.76;5.04;2.89;821.85;512.93;;;;33.0249;;
1611.06;2;20;40;;;;0.509;0;0.01976;;;;;15.43;36.85;361.66;32.99;5.51;1.6;1.26;470.47;207.6;;;;13.4902;;
1611.07;2;0;20;;;;1.401;0.01139;0.143;;;;;168.58;206.85;701.63;55.89;22.85;5.69;2.94;752.55;508.39;;;;59.5946;;
1611.08;2;20;40;;;;0.437;0;0.01541;;;;;4.96;22.01;289.56;22.19;6.19;1.03;1.09;343.68;167.59;;;;9.3848;;
1611.09;2;0;20;;;;1.324;0.01105;0.1263;;;;;156.26;201.27;571.14;59.44;19.13;5.15;2.69;789.97;565.26;;;;150.6418;;
1611.1;2;20;40;;;;0.555;0;0.03659;;;;;24.95;69.2;220.38;24.85;5.92;1.36;1.25;404.72;332.78;;;;30.3723;;
1611.11;2;0;20;;;;1.536;0.0142;0.135;;;;;165.14;262.88;588.52;66.02;16.23;4.75;3.06;810.12;508.64;;;;49.269;;
1611.12;2;20;40;;;;0.466;0;0.02071;;;;;19.6;68.62;220;28.58;4.64;1.1;1.63;435.72;336.73;;;;11.0607;;
1611.13;2;0;20;;;;1.472;0.01178;0.1342;;;;;240.74;232.36;762;70.08;16.1;6.06;2.33;765.69;550.06;;;;56.8169;;
1611.14;2;20;40;;;;0.478;0;0.02774;;;;;20.55;70.72;239.11;31.57;3.93;1.25;1.25;422.46;324.08;;;;13.933;;
1611.15;2;0;20;;;;1.339;0.00957;0.108;;;;;192.78;223.65;638.21;63.95;14.6;5.09;2.8;747.34;488.76;;;;38.4181;;
1611.16;2;20;40;;;;0.472;0;0.02942;;;;;15.11;44.28;197.86;26.48;3.46;1.25;1.28;366.31;282.89;;;;9.5752;;
1611.17;2;0;20;;;;1.415;0.00892;0.1098;;;;;173.42;169.35;632.03;63.53;16.31;4.75;2.86;874.03;524.68;;;;37.8699;;
1611.18;2;20;40;;;;0.689;0;0.03817;;;;;6.06;42.88;511.4;38.89;5.99;1.56;2.18;575.12;255.06;;;;16.5658;;
1611.19;2;0;20;;;;1.393;0.00881;0.1233;;;;;136.62;155.92;661.52;72.16;19.68;4.64;2.95;730.68;486.1;;;;49.4442;;
1611.2;2;20;40;;;;0.725;0;0.05905;;;;;12.02;51.39;609.98;38.45;16.01;1.62;2.02;583.79;257.86;;;;18.9255;;
1611.21;2;0;20;;;;1.422;0.00756;0.1199;;;;;130.53;123.39;650.8;59.35;19.14;4.75;2.84;756.5;457.3;;;;48.0688;;
1611.22;2;20;40;;;;0.418;0;0.02023;;;;;10.68;33.97;287.28;25.93;7.8;1.19;1.27;402.55;167.6;;;;8.386;;
1611.23;2;0;20;;;;1.404;0.00767;0.1158;;;;;157.12;142.91;636.91;63.26;20.08;4.68;2.85;732.09;495.26;;;;54.0871;;
1611.24;2;20;40;;;;0.454;0;0.01325;;;;;28.16;30.72;322.38;35.18;12.67;1.6;1.34;410.68;208.84;;;;9.3425;;
1612;15PP00004;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
1612.01;3;0;20;;;;2.59;0.02322;0.2049;;;;;79.2;131.37;1179.39;79.47;6.09;2.15;1.59;1431.53;390.16;;;;41.2763;;
1612.02;3;20;40;;;;0.914;0.00077;0.07344;;;;;17.1;37.68;277.25;26.74;0.73;0.75;1.14;1064.53;133.36;;;;40.2169;;
1612.03;3;0;20;;;;3.422;0.032;0.239;;;;;126.52;136.47;1255.93;73.47;6.41;2.54;1.84;1480.46;471.46;;;;41.0692;;
1612.04;3;20;40;;;;0.918;0;0.05507;;;;;11.53;27.11;339.96;21.27;2.03;0.86;1.06;993.93;221.28;;;;17.4984;;
1612.05;3;0;20;;;;3.147;0.03028;0.2568;;;;;163.13;201.43;1494.66;94.55;6.34;2.85;1.93;1441.26;495.9;;;;60.5179;;
1612.06;3;20;40;;;;2.792;0.02466;0.2115;;;;;93.32;52.09;1109.15;66.13;3.92;1.86;1.85;1408.96;493.33;;;;51.36;;
1612.07;3;0;20;;;;2.757;0.02178;0.212;;;;;72.96;162.14;1132.35;81.48;7.28;2.01;1.67;1329.81;414.04;;;;32.3839;;
1612.08;3;20;40;;;;0.715;0;0.05244;;;;;13.25;27.9;247.66;25.37;0.6;0.74;1.2;1023.95;138.36;;;;8.8969;;
1612.09;3;0;20;;;;2.883;0.02938;0.2422;;;;;131.73;121.67;1388.08;80.39;6.66;2.97;1.9;1454;508.82;;;;33.5397;;
1612.1;3;20;40;;;;1.362;0.00093;0.09158;;;;;8.43;27.48;478.85;22.97;0;0.52;1.39;1386.89;162.56;;;;18.0894;;
1612.11;3;0;20;;;;3.345;0.03321;0.274;;;;;159.55;164.68;1568.36;104.18;7.24;2.77;2.16;1434.31;472.84;;;;97.7835;;
1612.12;3;20;40;;;;1.579;0.00642;0.1162;;;;;49.64;44.52;728.27;46.61;4.43;0.98;1.5;1290.16;292.33;;;;64.5866;;
1612.13;3;0;20;;;;3.066;0.02678;0.2435;;;;;111.8;189.91;1132.9;73.05;6.42;2.08;1.61;1479.67;405.96;;;;41.5622;;
1612.14;3;20;40;;;;0.887;0.00201;0.07425;;;;;21.42;33.87;355.23;30.06;1.89;0.66;0.97;1036.88;199.08;;;;8.259;;
1612.15;3;0;20;;;;2.909;0.02809;0.235;;;;;134.45;107.61;1173.16;68.16;7.13;5.03;1.62;1330.06;457.5;;;;29.9573;;
1612.16;3;20;40;;;;1.006;0.00369;0.1076;;;;;4.93;19.77;444.53;20.64;0.32;0.7;1.15;1092.82;179.9;;;;10.4346;;
1612.17;3;0;20;;;;3.135;0.02849;0.2768;;;;;133.94;183.95;1555.32;103.38;9;3.1;1.8;1438.64;448.19;;;;49.6694;;
1612.18;3;20;40;;;;1.351;0.00464;0.1227;;;;;50.91;45.62;726.72;47.47;3.74;1.11;1.36;1207.04;225.11;;;;44.7869;;
1612.19;3;0;20;;;;2.714;0.02176;0.2272;;;;;151.11;163.85;1121.07;78.37;7.04;2.58;1.63;1608.81;446.67;;;;39.738;;
1612.2;3;20;40;;;;0.835;0;0.1165;;;;;26.14;43.54;365.61;28.01;0.9;0.8;1.32;1248.8;146.11;;;;16.3504;;
1612.21;3;0;20;;;;2.817;0.02302;0.2694;;;;;153.2;81.22;1135.86;63.98;5.64;2.37;1.61;1399.31;398.67;;;;44.4979;;
1612.22;3;20;40;;;;1.275;0.00637;0.121;;;;;12.43;26.6;606.21;33.9;1.31;0.94;1.12;1148.56;228.75;;;;16.7222;;
1612.23;3;0;20;;;;3.254;0.02673;0.288;;;;;174.16;143.1;1239.52;88.99;6.44;2.59;1.6;1449.17;452.86;;;;43.2865;;
1612.24;3;20;40;;;;1.364;0.01032;0.1127;;;;;67.27;32.7;535.85;35.88;0.6;0.73;1.19;1239.92;197.07;;;;11.8632;;
1613;15PP00005;0;20;;;;;;;;;;;;;;;;;;;;;;;;;
1613.01;3;0;20;;;;3.345;0.02787;0.2807;;;;;154.05;183.03;1276.98;84.71;6.62;2.38;1.65;1481.86;409.84;;;;32.0492;;
1613.02;3;20;40;;;;1.097;0;0.1057;;;;;48.98;31.53;446.96;26.32;0.72;0.62;0.62;1289.32;191.36;;;;0.6439;;
1613.03;3;0;20;;;;3.324;0.02723;0.2891;;;;;219.07;77.41;1198.41;66.24;5.79;3.21;1.78;1592.86;406.71;;;;47.2204;;
1613.04;3;20;40;;;;2.711;0.01649;0.2473;;;;;57.55;28.1;739.08;34.67;1.95;1.15;1.19;1521.75;247.07;;;;26.3611;;
1613.05;3;0;20;;;;2.954;0.0252;0.2682;;;;;63.98;42.34;783.05;51.79;0.82;0.69;1.16;1816.84;267.48;;;;45.7052;;
1613.06;3;20;40;;;;2.41;0.01313;0.2048;;;;;66.38;45.77;726.82;50.19;1.16;0.81;1.32;1753.59;251.29;;;;84.0197;;
1613.07;3;0;20;;;;3.272;0.02402;0.3223;;;;;157.75;255.28;1043.78;70.58;5.66;3.04;1.48;1446.3;373.38;;;;59.7647;;
1613.08;3;20;40;;;;1.473;0.00089;0.1179;;;;;37.59;62.46;396.91;29.4;2.21;0.85;0.81;1168.11;190.13;;;;28.449;;
1613.09;3;0;20;;;;3.28;0.02661;0.2766;;;;;216.25;101.42;1113.05;59.56;6.97;3.07;1.91;1561.33;404.66;;;;47.8985;;
1613.1;3;20;40;;;;2.983;0.01786;0.2482;;;;;63.55;38.74;771.31;33.79;1.97;1.33;1.29;1628.27;264.1;;;;23.3915;;
1613.11;3;0;20;;;;3.36;0.02614;0.2993;;;;;177.89;154.24;1280.55;84.44;5.22;2.55;1.56;1499.64;369.6;;;;63.9501;;
1613.12;3;20;40;;;;1.464;0.00419;0.1328;;;;;36.1;28.96;413.41;30.85;1.35;0.92;0.86;1290.13;150.35;;;;38.9183;;
1613.13;3;0;20;;;;2.97;0.01922;0.2418;;;;;122.23;149.85;995.94;68.91;4.47;2.07;1.52;1490.66;393.58;;;;31.7345;;
1613.14;3;20;40;;;;0.508;0;0.05318;;;;;0;25.75;248.2;28.83;2.48;0.76;0.59;570.54;230;;;;13.824;;
1613.15;3;0;20;;;;3.103;0.02424;0.2456;;;;;198.26;102.03;1052.39;60.27;5.04;2.46;1.61;1526.39;359.55;;;;44.4707;;
1613.16;3;20;40;;;;2.568;0.01821;0.1823;;;;;50.2;30.14;736.47;33.21;1.21;1.06;1.24;1498.04;241.76;;;;28.3354;;
1613.17;3;0;20;;;;3.088;0.02615;0.2694;;;;;169.16;219.58;1179.05;79.6;5.59;2.72;1.71;1644.45;434.99;;;;133.0351;;
1613.18;3;20;40;;;;0.506;0.00067;0.03193;;;;;34.6;29.45;260.19;22.33;1.16;0.81;0.58;860.05;123.9;;;;83.6006;;
1613.19;3;0;20;;;;3.274;0.02984;0.2476;;;;;178.07;201.2;1328.03;91.42;5.36;2.46;1.88;1634.55;415.52;;;;35.2996;;
1613.2;3;20;40;;;;0.417;0;0.03615;;;;;4.55;24.82;171.3;20.12;1.87;0.74;0.56;499.11;129.58;;;;11.5217;;
1613.21;3;0;20;;;;3.144;0.0242;0.2294;;;;;189.29;83.65;1090.63;62.73;3.4;2.31;1.78;1502.01;381.21;;;;35.2833;;
1613.22;3;20;40;;;;2.228;0.01298;0.1478;;;;;21.85;29.25;455.14;25.24;0.53;0.82;1.23;1338.17;273.24;;;;20.8933;;
1613.23;3;0;20;;;;3.058;0.02345;0.2288;;;;;143.54;167.19;1141.03;68.63;4.27;2.56;1.71;1443.92;424.65;;;;62.6079;;
1613.24;3;20;40;;;;0.511;0;0.01903;;;;;0;16.48;199.57;30.01;3.96;0.84;0.47;413.89;284.14;;;;11.8268;;
1614;260674;;;;38.4;;21.32;0.2703;1.094;;6.68;;7;173.23;194.2;8069.61;1035.33;21;11.7;4.7;215;292;;;54;;;
1615;260675;;;;53.9;;33.72;0.4323;1.553;;6.8;;7;148.03;111.55;8341.55;753.33;19;12.8;4.5;113;226;;;52.8;;;
1616;260676;;;;67.7;;41.72;0.5559;1.822;;6.81;;7;155.28;172.89;8669.09;906.53;22;14.6;4.7;115;205;;;55.8;;;
1617;260686;;;;13.3;;8.717;0.1557;0.5335;;7.29;;7.3;73.26;170.82;5737.99;411.69;16;7.6;8.5;455;279;;;34.4;;;
1618;260833;;;;4.3;;1.954;0.01553;0.1484;;6.41;;6.6;152.07;312.23;2320.42;322.42;142;4.4;8.9;947;276;;;23;;;
1619;262037;;;;43.1;;25.43;0.4217;1.181;;6.59;;7;36.08;40.14;8960.53;1214.08;16;9.1;1.7;311;249;;;59.5;;;
1620;262038;;;;65.7;;38.63;1.03;1.9;;6.3;;6.3;34.97;35.95;8331.82;859.11;22;11;1;275;237;;;59.7;;;
1621;262244;;;;7.2;;6.651;0.02963;0.2919;;2.27;;7.3;8.45;164.49;3343.73;822.25;292;2.1;2.3;449;94;;;26;;;
1622;262277;;;;10.3;;6.494;0.05078;0.4487;;6.46;;7;24.03;863.54;3983.42;1030.14;303;6.6;3.4;599;144;;;35.2;;;
1623;262532;;;;6.5;;3.546;0.03466;0.2942;;6.71;;7;182.6;207.82;4148.07;357.92;39;21;3.9;615;341;;;28.8;;;
1624;262534;;;;2.9;;1.38;0.00597;0.0819;;6.57;;7;65.91;59.18;1175.67;61.2;16;1.2;1;690;236;;;11;;;
1625;262538;;;;8.3;;5.75;0.0699;0.3536;;7.14;;7.1;141.84;180.84;5658.43;235.82;19;7.8;5.9;647;264;;;34;;;
1626;262539;;;;67.3;;36.57;0.2441;1.402;;6.12;;6.1;60.6;125.27;3545.04;284.82;14;14.3;3.1;76;222;;;32.7;;;
1627;262541;;;;76.6;;44.28;0.2596;1.527;;5.54;;5.5;38.27;117.29;3798.69;304.22;12;12.7;2.4;61;212;;;39.5;;;
1628;262544;;;;6.1;;3.707;0.04186;0.2626;;6.07;;6.6;93.84;123.88;2623.75;89.55;47;4.7;2.7;1128;288;;;22.6;;;
1629;262545;;;;7.6;;4.259;0.04382;0.325;;6.37;;6.8;54.76;50.88;3243.72;97.6;50;4;2.9;794;261;;;23.4;;;
1630;262547;;;;2.9;;1.497;0.01238;0.1127;;6.86;;7;46.19;52.35;2399.46;151.83;63;4.9;2.1;1003;371;;;17.9;;;
1631;262549;;;;3.1;;1.406;0.00207;0.1163;;6.01;;6.6;51.27;60.85;1503.07;71.86;47;2.2;1.5;1379;377;;;16.3;;;
1632;262553;;;;3.6;;1.726;0.00904;0.1405;;5.51;;6.3;45.65;103.59;1546.34;278.72;22;1.7;1.5;1269;371;;;20.8;;;
1633;262560;;;;5.4;;2.671;0.02519;0.2597;;6.25;;6.7;147.95;431.16;3731.96;569.9;35;7.5;2.7;727;267;;;31.5;;;
1634;262561;;;;5.9;;2.757;0.01649;0.2173;;5.36;;6.1;49.34;211.46;3456.73;993.34;26;3.1;3.3;1199;286;;;39;;;
1635;262568;;;;4.9;;2.482;0.02278;0.1941;;6.22;;6.6;127.86;32.39;1995.75;53.19;94;4.3;4.5;1318;326;;;18.9;;;
1636;262574;;;;3.8;;1.935;0.00865;0.1461;;5.31;;6.4;29.27;46.62;1203.48;93.33;186;1.6;1.7;812;275;8.4;;16.7;;;
1637;262575;;;;4.4;;2.456;0.01911;0.1648;;6.11;;6.5;55.74;55.25;1572.29;76.08;57;3.7;2.7;1252;347;;;17.5;;;
1638;262576;;;;4.6;;2.327;0.0167;0.1319;;6.52;;7;82.24;66.84;2190.42;61.82;29;4.9;3;1117;328;;;16.1;;;
1639;262580;;;;9;;4.299;0.03237;0.3084;;5.15;;5.7;36.62;61.3;819.48;94.93;31;8.4;1.9;1799;268;;;21.1;;;
1640;262586;;;;4.6;;2.424;0.01556;0.1795;;6.02;;6.7;30.24;73.96;2858.73;67.69;93;1.5;1.5;941;294;;;22.5;;;
1641;262589;;;;6.8;;3.345;0.02599;0.2762;;6.16;;6.6;51.69;60.81;3099.51;85.34;91;3;1.7;953;296;;;24.5;;;
1642;262590;;;;7;;3.358;0.02974;0.2808;;6.23;;6.7;46.16;85.25;2788.99;107.1;47;2.2;1.7;862;333;29.83;;22;;;
1643;262591;;;;6.3;;3.14;0.02252;0.2609;;6.17;;6.6;51.12;82.76;2509.49;66.52;71;2.6;1.2;1065;300;;;21.7;;;
1644;262592;;;;8.7;;4.078;0.03388;0.3111;;6.27;;6.6;50.82;57.08;3460.7;77.74;78;2.9;1.4;912;266;16.32;;26.1;;;
1645;262593;;;;8.5;;4.567;0.03376;0.3278;;6.83;;7;45.13;74.62;4780.09;69;56;2.7;1.2;890;220;17.36;;29.2;;;
1646;262594;;;;8.6;;3.843;0.02827;0.3083;;6.27;;6.5;45.52;82.87;2955.04;99.19;44;2.7;1.1;1070;278;;;25;;;
1647;262595;;;;14.1;;6.695;0.05769;0.4539;;6.32;;6.5;55.16;83.65;4592.98;173.96;67;6.5;1.5;767;301;;;33.4;;;
1648;262598;;;;8.5;;4.358;0.01766;0.2599;;5.17;;6;15.79;50.33;467.49;451.36;62;7.1;1.8;997;507;;;19.7;;;
1649;262599;;;;2.5;;1.175;0.00298;0.0811;;7.01;;7;25.05;304;3186.34;530.73;30;2.1;3.6;991;403;;;25.5;;;
1650;262600;;;;6;;2.563;0.0226;0.1699;;5.76;;6.1;54.11;107.96;561.64;43.6;20;8.3;1.5;1700;235;;;16.1;;;
1651;262602;;;;9.5;;4.13;0.02829;0.2462;;5.63;;6;38.15;35.52;510.55;34.91;17;9.2;1.3;1834;148;4.43;;16.9;;;
1652;262606;;;;11.5;;5.402;0.05185;0.3738;;5.93;;6.1;46.76;101.71;1472.67;89.62;15;12.4;1.5;1729;155;;;21;;;
1653;262608;;;;8.9;;3.822;0.03447;0.283;;5.96;;6.1;35.31;151.47;1278.41;109.08;11;6.9;1.1;1817;179;10.81;;20.1;;;
1654;262611;;;;9.4;;4.416;0.0436;0.3411;;5.89;;5.9;75.72;87.69;1100.34;78.82;19;15.1;2.4;1693;167;;;20.4;;;
1655;262614;;;;6;;2.733;0.02615;0.2207;;5.97;;6.4;39.94;240.56;3741.35;425.22;23;9.9;4.6;993;327;;;32.9;;;
1656;262616;;;;5.2;;2.517;0.02289;0.2253;;6.46;;7;52.3;69.55;2319.49;89.24;91;2.9;3.4;811;318;;;17;;;
1657;262617;;;;6.5;;3.049;0.03862;0.2668;;6.47;;7;50.39;47.25;2923.73;77.77;124;2.4;3.7;1024;282;;;19.9;;;
1658;262620;;;;5;;2.48;0.01689;0.2131;;5.15;;5.9;45.36;41.73;829.3;28.76;86;1.6;1.6;1326;400;;;18.7;;;
1659;262627;;;;5.5;;2.664;0.01364;0.1681;;5.17;;5.9;15.39;69.21;1271.63;156.18;52;3.5;0.8;1417;406;;;22;;;
1660;262630;;;;3.3;;1.715;0.0087;0.1018;;6.37;;6.8;92.19;55.57;1930.86;71.98;25;1.4;1.3;1150;383;;;16.6;;;
