IDEN,Prediction,SAND,SAND_IR,SEP,SD,RPD,RER
189,Set2_ilr,58.908833,50.745979516891,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
224,Set2_ilr,53.021807,72.324215913786,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
229,Set2_ilr,33.303094,34.6000717075943,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1636,Set2_ilr,45.99722,46.2729843453697,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1724,Set2_ilr,62.48723,59.9990200744517,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
44,Set2_ilr,66.654505,63.2560095373688,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
174,Set2_ilr,13.595074,25.2508782397972,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2364,Set2_ilr,87.450735,87.3188895087569,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2257,Set2_ilr,35.58664,39.3011609666941,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1555,Set2_ilr,77.184992,82.5763478702223,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2805,Set2_ilr,81.739287,68.5644183121519,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1774,Set2_ilr,38.753831,38.4963387025566,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1789,Set2_ilr,19.700759,31.1685313439052,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
1797,Set2_ilr,20.841879,24.4644738349993,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
253,Set2_ilr,62.634202,70.9996754814436,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
824,Set2_ilr,76.931688,85.043094268691,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
758,Set2_ilr,42.513319,68.5806500337049,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
529,Set7_All features,7.72778133545916,6.38154020624461,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
824,Set7_All features,85.3872856506223,84.9400264609429,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
845,Set7_All features,86.2934818281636,84.1105932898301,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
24,Set7_All features,56.1714903545583,60.1077229623248,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
28,Set7_All features,4.70843676165775,67.2118932718525,1.07219314064555,30.5653047433738,28.5072750278656,89.8153469394658
