IDEN,Prediction,SILT,SILT_IR,SEP,SD,RPD,RER
2296,Set3_2-point_ilr,19.9223183847104,13.9308533922516,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2353,Set3_2-point_ilr,33.8561115533778,41.8137075183034,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2357,Set3_2-point_ilr,23.606207342826,26.965533492835,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2359,Set3_2-point_ilr,78.3453446370636,18.5129927262438,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2362,Set3_2-point_ilr,45.7096631708324,13.0591250003628,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
16,Set1_%,80.43763,79.7607764621575,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
189,Set1_%,39.918917,40.4523762379284,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
609,Set1_%,23.394753,32.8657069027781,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
80,Set1_%,32.404206,41.7391097613858,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
81,Set1_%,37.562032,40.0034838348219,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
491,Set1_%,27.722288,27.0276150772245,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
183,Set1_%,53.369366,52.467646167819,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
201,Set1_%,18.81463,17.5101182636839,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
245,Set1_%,65.444695,33.3011024969855,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
255,Set1_%,67.400504,66.904225307757,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
256,Set1_%,62.009505,63.8636765779918,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1636,Set1_%,53.229638,53.5329982197267,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1651,Set1_%,39.952833,16.263733604541,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1653,Set1_%,33.809952,32.6460273672841,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1669,Set1_%,13.314258,21.8569703551738,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
38,Set1_%,21.655064,21.0907843442994,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
84,Set1_%,71.547256,71.1255206484686,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
112,Set1_%,22.138085,22.5849527999123,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
128,Set1_%,55.844537,55.93502718025,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
174,Set1_%,78.194827,59.4739260494623,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
538,Set1_%,31.331219,30.2184173312045,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
1761,Set1_%,73.293309,73.3677591440731,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2384,Set1_%,26.945618,31.8266412090026,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2281,Set1_%,33.057038,41.8341902220458,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2793,Set1_%,19.758512,33.013147239239,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2796,Set1_%,48.391058,47.7713156554935,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2802,Set1_%,94.994483,85.6876216939532,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
499,Set1_%,82.775265,43.4311561065747,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
2807,Set1_%,29.686112,29.8812386684857,1.10804936086697,25.4433899868639,22.9623254030455,83.9352902774731
