IDEN,Prediction,C_perc,C_IR,SEP,SD,RPD,RER
3640,Set2_ilr,2.8944,2.44971614605896,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3674,Set2_ilr,2.006,1.8349346392251,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3719,Set2_ilr,2.569,3.18609716074138,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3740,Set2_ilr,0.9678,1.78883661342902,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3798,Set2_ilr,2.9802,3.65631880311718,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3893,Set2_ilr,1.8529,1.80900135436214,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3902,Set2_ilr,0.0896,0.235458615601701,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3920,Set2_ilr,0.6912,0.878972504275684,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3935,Set2_ilr,1.4659,1.58817632626894,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3944,Set2_ilr,3.2538,2.82246529153198,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3953,Set2_ilr,2.1875,1.90957126454868,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3962,Set2_ilr,4.0651,3.80234298927655,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
189,Set2_ilr,1.497,1.72024593059993,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
224,Set2_ilr,2.983,2.06708329479378,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
229,Set2_ilr,2.982,2.51178229971751,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1636,Set2_ilr,1.935,1.81815425872061,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1724,Set2_ilr,5.263,4.84641202562854,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
44,Set2_ilr,2.73,2.60526917423087,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
