IDEN,Prediction,CLAY,CLAY_IR,SEP,SD,RPD,RER
714,Set7_Oxalate,15.6004837508032,16.7461120845383,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
720,Set7_Oxalate,32.5225625093638,32.7980292276718,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
722,Set7_Oxalate,33.2700111630229,35.5582510464868,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
740,Set7_Oxalate,46.01163669124,44.8581311575173,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
744,Set7_Oxalate,32.2945176252733,37.2813491803375,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
748,Set7_Oxalate,33.1597978532229,36.6824945977043,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
763,Set7_Oxalate,3.84616539881531,4.14243501980085,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
766,Set7_Oxalate,9.24135967732346,9.19115859999581,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
818,Set7_Oxalate,8.49428151808788,8.22204968855339,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
824,Set7_Oxalate,7.91850013471156,7.65282806903139,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
829,Set7_Oxalate,6.53998636527009,19.2505751962672,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
864,Set7_Oxalate,5.76468330595092,6.92471025162932,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
889,Set7_Oxalate,29.3007501290578,28.6853896982105,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
932,Set7_Oxalate,4.61301709975235,4.14475690143524,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
1347,Set7_Oxalate,3.96287186604,3.90681312218099,0.356113701698067,18.4720920938761,51.8713321217214,216.940415988911
529,Set7_Mehlich3,38.7504311152342,41.4450773756313,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
824,Set7_Mehlich3,7.19503034420149,7.09398035350825,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
24,Set7_Mehlich3,23.0317372624067,23.5900013022601,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
27,Set7_Mehlich3,47.4857793606929,52.40840270764,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
52,Set7_Mehlich3,3.62683966956827,4.45180124499538,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
60,Set7_Mehlich3,9.30102909720492,10.5963444888548,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
63,Set7_Mehlich3,10.2809394819325,10.7879728339185,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
70,Set7_Mehlich3,27.2867807180099,28.2227572624645,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
104,Set7_Mehlich3,7.99548209686666,7.73659634316302,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
131,Set7_Mehlich3,18.213879549036,29.1028598354419,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
487,Set7_Mehlich3,5.41158032473971,11.1117532319682,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
491,Set7_Mehlich3,6.81542160615015,8.70078664608754,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
592,Set7_Mehlich3,8.68733629638588,9.97885564253024,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
606,Set7_Mehlich3,54.9624904239521,54.0658639898166,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
612,Set7_Mehlich3,25.4466402383489,25.1863984252387,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
617,Set7_Mehlich3,56.2460907679552,53.4057670596476,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
618,Set7_Mehlich3,26.4385683434885,24.7790072173611,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
624,Set7_Mehlich3,71.5537042659325,64.6135316146688,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
628,Set7_Mehlich3,36.6206891058471,36.1457645466273,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
633,Set7_Mehlich3,51.5111378019077,55.929158810817,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
640,Set7_Mehlich3,29.3034134172711,38.6417108845884,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
641,Set7_Mehlich3,12.8619043457174,18.821438905967,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
642,Set7_Mehlich3,52.140938523474,57.4140738353688,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
644,Set7_Mehlich3,56.3681299789334,58.6229894015222,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
645,Set7_Mehlich3,33.3982310284779,38.5067477809878,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
649,Set7_Mehlich3,22.7888228834601,24.8491107107707,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
694,Set7_Mehlich3,29.1664475237134,34.2508606998283,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
700,Set7_Mehlich3,35.9610778433457,38.0135191002763,0.32445972160573,18.4720920938761,56.9318496683006,238.104915468082
