IDEN,Prediction,C_perc,C_IR,SEP,SD,RPD,RER
261,Set4_NIR_ilr,1.644,2.69678414245309,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
515,Set4_NIR_ilr,1.382,3.16756232021217,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
527,Set4_NIR_ilr,3.3314,3.16607515098608,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
538,Set4_NIR_ilr,2.6635,2.77133097805534,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
619,Set4_NIR_ilr,2.581,2.9476143835722,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
640,Set4_NIR_ilr,1.921,2.81910445407303,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
642,Set4_NIR_ilr,2.635,2.06832625902503,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
643,Set4_NIR_ilr,2.141,2.8884318559294,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
647,Set4_NIR_ilr,2.256,2.15778008160043,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
655,Set4_NIR_ilr,2.207,1.88526480334817,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
658,Set4_NIR_ilr,2.245,2.66012253402601,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
660,Set4_NIR_ilr,2.124,2.76282068149757,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
662,Set4_NIR_ilr,2.293,2.48062661324819,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
663,Set4_NIR_ilr,1.623,2.87061345903914,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
667,Set4_NIR_ilr,2.736,2.66013114163454,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
686,Set4_NIR_ilr,2.373,2.28177017976499,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
707,Set4_NIR_ilr,2.378,2.32067661026603,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
711,Set4_NIR_ilr,2.662,2.24169064831088,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
715,Set4_NIR_ilr,1.959,3.290421435248,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
719,Set4_NIR_ilr,2.327,2.43038192671758,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
721,Set4_NIR_ilr,2.166,2.76075872551906,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
744,Set4_NIR_ilr,2.355,2.16930770645582,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
746,Set4_NIR_ilr,2.895,2.21479476577831,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
748,Set4_NIR_ilr,2.199,2.5021862018226,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
749,Set4_NIR_ilr,1.981,2.65861959092573,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
771,Set4_NIR_ilr,2.347,1.75403284168714,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
777,Set4_NIR_ilr,1.64,2.10945658886432,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
782,Set4_NIR_ilr,1.763,3.3861867737677,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
799,Set4_NIR_ilr,2.325,2.59061787648477,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
804,Set4_NIR_ilr,2.8977,2.04992516873387,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
806,Set4_NIR_ilr,2.39,2.57831848198256,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
809,Set4_NIR_ilr,3.001,2.79271657965062,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
823,Set4_NIR_ilr,1.972,2.96078995150886,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
834,Set4_NIR_ilr,3.117,2.78591738380697,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
840,Set4_NIR_ilr,2.4597,2.08524552221162,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
844,Set4_NIR_ilr,2.75,2.01982971505309,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
855,Set4_NIR_ilr,2.961,2.04527910871817,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
866,Set4_NIR_ilr,2.633,2.40278486550139,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
868,Set4_NIR_ilr,3.137,2.01054328313284,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
869,Set4_NIR_ilr,3.324,2.20552212906457,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
896,Set4_NIR_ilr,2.198,2.14279835021819,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
898,Set4_NIR_ilr,3.056,1.87024635806508,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
909,Set4_NIR_ilr,2.918,2.42434417401487,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
916,Set4_NIR_ilr,2.482,2.46336199336094,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
924,Set4_NIR_ilr,2.197,2.35335785032044,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1555,Set4_NIR_ilr,2.158,2.69281161116753,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1774,Set4_NIR_ilr,1.7187,2.46187501181907,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1780,Set4_NIR_ilr,1.4136,2.30420552216582,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1785,Set4_NIR_ilr,2.8865,3.07063547585992,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1788,Set4_NIR_ilr,1.9123,1.80248129459373,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
1798,Set4_NIR_ilr,1.3184,2.36456764492052,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2215,Set4_NIR_ilr,2.345,3.26268554950031,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2350,Set4_NIR_ilr,1.28,3.34591406015141,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2593,Set4_NIR_ilr,1.812,3.00605781271497,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2794,Set4_NIR_ilr,1.75,1.76371499873072,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2796,Set4_NIR_ilr,4.24,2.72851955104099,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2798,Set4_NIR_ilr,2.42,2.74009701692645,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
2804,Set4_NIR_ilr,2.23,2.51430676672074,0.0904744852309098,0.558319877369872,6.1710202157539,137.478649016403
16,Set1_ilr,2.919,2.5625258099985,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
189,Set1_ilr,1.497,1.78830488710592,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
609,Set1_ilr,3.684,2.13654012698335,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
80,Set1_ilr,2.63,2.77003394913003,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
81,Set1_ilr,2.47,2.92951993404482,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
491,Set1_ilr,2.8977,2.07987177326586,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
183,Set1_ilr,2.566,2.13762765570131,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
201,Set1_ilr,1.893,2.17060346849403,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
245,Set1_ilr,2.611,3.17769057949418,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
255,Set1_ilr,1.812,2.5331115364335,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
256,Set1_ilr,2.698,2.38643827818028,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
1636,Set1_ilr,1.935,1.76860219123387,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
1651,Set1_ilr,4.13,2.5994207152871,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
1653,Set1_ilr,3.822,2.37273958408029,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
1669,Set1_ilr,1.398,1.66519683408878,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
38,Set1_ilr,2.4,3.25332369735386,0.104585723496242,1.37290115758564,13.1270417384929,118.92932978034
